WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
A4:11:62:72:9A:12,ARLO_VMB_4422026869,[WPA2_PSK],2025-12-18 15:15:46,3,-91,34.0444298,-117.2011871,374.50,2.75,WIFI
90:CA:FA:9B:59:3C,The Force,[WPA2_PSK],2025-12-18 15:15:49,6,-89,34.0444336,-117.2011795,374.30,2.75,WIFI
D4:3F:32:6C:47:C6,durian,[WPA2_PSK],2025-12-18 15:16:3,6,-85,34.0444221,-117.2012024,374.20,2.75,WIFI
90:CA:FA:9B:5D:1A,The Force,[WPA2_PSK],2025-12-18 15:16:3,6,-90,34.0444221,-117.2012024,374.20,2.75,WIFI
1E:67:BE:09:97:E8,,[WPA2_PSK],2025-12-18 15:16:10,1,-85,34.0443993,-117.2012634,374.00,2.75,WIFI
1E:67:BE:09:97:E9,,[WPA2_PSK],2025-12-18 15:16:10,1,-86,34.0443993,-117.2012634,374.00,2.75,WIFI
2C:67:BE:09:97:EF,SpectrumSetup-97EB,[WPA2_PSK],2025-12-18 15:16:10,1,-87,34.0443993,-117.2012634,374.00,2.75,WIFI
54:04:63:FB:12:D8,,[WPA_WPA2_PSK],2025-12-18 15:16:10,1,-88,34.0443993,-117.2012634,374.00,2.75,WIFI
58:68:7A:10:AF:17,Cookie,[WPA2_WPA3_PSK],2025-12-18 15:16:10,1,-92,34.0443993,-117.2012634,374.00,2.75,WIFI
82:AC:B9:BD:D4:B8,,[WPA2_PSK],2025-12-18 15:16:31,6,-88,34.0450249,-117.2017517,368.20,2.50,WIFI
7E:AC:B9:BD:D4:B8,iPhoneSetup,[WPA2_PSK],2025-12-18 15:16:31,6,-90,34.0450249,-117.2017517,368.20,2.50,WIFI
7E:AC:B9:BD:CB:D1,iPhoneSetup,[WPA2_PSK],2025-12-18 15:16:31,6,-91,34.0450249,-117.2017517,368.20,2.50,WIFI
