WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
98:ED:5C:83:A7:13,TeslaPV_83A713,[WPA2_PSK],2025-12-16 18:14:20,3,-89,34.0443993,-117.2011871,371.20,2.00,WIFI
90:CA:FA:9B:59:3C,The Force,[WPA2_PSK],2025-12-16 18:14:23,6,-92,34.0443993,-117.2011871,371.30,2.00,WIFI
A4:11:62:72:9A:12,ARLO_VMB_4422026869,[WPA2_PSK],2025-12-16 18:14:23,6,-93,34.0443993,-117.2011871,371.30,2.00,WIFI
90:CA:FA:9B:5D:1A,The Force,[WPA2_PSK],2025-12-16 18:14:23,6,-93,34.0443993,-117.2011871,371.30,2.00,WIFI
90:CA:FA:9B:5C:CF,The Force,[WPA2_PSK],2025-12-16 18:14:28,11,-95,34.0443993,-117.2011871,371.60,2.00,WIFI
F8:5B:3B:CE:64:39,MandC,[WPA2_PSK],2025-12-16 18:14:28,11,-95,34.0443993,-117.2011871,371.60,2.00,WIFI
D4:3F:32:6C:47:C3,,[WPA3_PSK],2025-12-16 18:14:37,6,-90,34.0443764,-117.2012634,371.50,2.00,WIFI
D4:05:DE:89:EE:67,Blossom,[WPA2_PSK],2025-12-16 18:14:42,11,-89,34.0443611,-117.2012863,371.80,2.00,WIFI
D6:47:CC:7F:68:AE,SpectrumSetup-21,[WPA2_PSK],2025-12-16 18:14:42,11,-93,34.0443611,-117.2012863,371.80,2.00,WIFI
FC:34:97:05:D4:D0,Belle-2G,[WPA2_PSK],2025-12-16 18:14:54,9,-96,34.0448723,-117.2017288,369.50,1.75,WIFI
22:3E:A4:04:CF:C2,,[WPA2_PSK],2025-12-16 18:14:56,11,-98,34.0449371,-117.2017670,369.50,1.75,WIFI
