WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
88:DC:97:0A:80:79,DolceVillaEstate,[WPA2_WPA3_PSK],2025-3-28 4:3:44,1,-73,34.0223923,-117.1785965,455.00,4.75,WIFI
18:31:BF:A9:BF:30,Nannis,[WPA2_PSK],2025-3-28 4:3:44,1,-94,34.0223923,-117.1785965,455.00,4.75,WIFI
80:E5:40:E9:05:F8,Frontier9344,[WPA2_PSK],2025-3-28 4:3:44,1,-95,34.0223923,-117.1785965,455.00,4.75,WIFI
16:0C:6B:20:BF:DE,Moores,[WPA2_PSK],2025-3-28 4:3:46,3,-91,34.0226707,-117.1784592,454.40,4.50,WIFI
60:45:CB:CF:7C:D0,Kitchen,[WPA2_PSK],2025-3-28 4:3:49,6,-72,34.0230789,-117.1782379,455.50,4.50,WIFI
80:CC:9C:3D:61:A2,,[WPA2_PSK],2025-3-28 4:3:49,6,-91,34.0230789,-117.1782379,455.50,4.50,WIFI
86:CC:9C:3D:61:A2,MORALES-1,[WPA2_PSK],2025-3-28 4:3:49,6,-93,34.0230789,-117.1782379,455.50,4.50,WIFI
3A:98:B5:50:B9:64,Sunset Cottage,[WPA2_PSK],2025-3-28 4:4:1,4,-85,34.0246353,-117.1781845,471.90,4.50,WIFI
3E:98:B5:50:B9:64,Sunset Guest,[WPA2_PSK],2025-3-28 4:4:1,4,-85,34.0246353,-117.1781845,471.90,4.50,WIFI
34:98:B5:50:B9:64,,[WPA2_PSK],2025-3-28 4:4:1,4,-86,34.0246353,-117.1781845,471.90,4.50,WIFI
42:94:ED:5D:72:F7,Sunset Guest,[WPA2_PSK],2025-3-28 4:4:1,4,-93,34.0246353,-117.1781845,471.90,4.50,WIFI
EC:B1:D7:CF:14:71,HP-Print-71-Officejet Pro 276dw,[WPA2_PSK],2025-3-28 4:4:3,6,-92,34.0248985,-117.1781082,473.70,4.50,WIFI
72:CD:D6:15:6D:7A,Office/Backyard,[WPA2_PSK],2025-3-28 4:4:5,8,-92,34.0251541,-117.1780243,475.50,4.50,WIFI
6C:CD:D6:15:6D:7A,,[WPA2_PSK],2025-3-28 4:4:5,8,-93,34.0251541,-117.1780243,475.50,4.50,WIFI
38:94:ED:5D:72:F7,,[WPA2_PSK],2025-3-28 4:4:15,4,-75,34.0258904,-117.1776886,482.00,4.50,WIFI
3E:94:ED:5D:72:F7,Sunset Cottage,[WPA2_PSK],2025-3-28 4:4:15,4,-77,34.0258904,-117.1776886,482.00,4.50,WIFI
3E:94:ED:5D:60:87,Sunset Cottage,[WPA2_PSK],2025-3-28 4:4:15,4,-79,34.0258904,-117.1776886,482.00,4.50,WIFI
38:94:ED:5D:60:87,,[WPA2_PSK],2025-3-28 4:4:15,4,-80,34.0258904,-117.1776886,482.00,4.50,WIFI
42:94:ED:5D:60:87,Sunset Guest,[WPA2_PSK],2025-3-28 4:4:15,4,-80,34.0258904,-117.1776886,482.00,4.50,WIFI
D2:9E:43:D5:86:95,Sunset Guest,[WPA2_PSK],2025-3-28 4:4:15,4,-93,34.0258904,-117.1776886,482.00,4.50,WIFI
86:CC:9C:3D:63:96,MORALES-1,[WPA2_PSK],2025-3-28 4:4:17,6,-87,34.0259056,-117.1776810,482.70,4.50,WIFI
C0:89:AB:39:E3:E8,Frontier0368,[WPA2_PSK],2025-3-28 4:4:22,11,-92,34.0261650,-117.1778564,485.40,4.50,WIFI
08:9B:F1:87:61:69,,[OPEN],2025-3-28 4:4:25,1,-74,34.0264587,-117.1781464,484.10,4.50,WIFI
08:9B:F1:87:61:63,,[WPA3_PSK],2025-3-28 4:4:25,1,-75,34.0264587,-117.1781464,484.10,4.50,WIFI
08:9B:F1:87:61:66,Force1,[WPA2_PSK],2025-3-28 4:4:25,1,-80,34.0264587,-117.1781464,484.10,4.50,WIFI
F8:BB:BF:AD:57:03,Force1,[WPA2_PSK],2025-3-28 4:4:25,1,-84,34.0264587,-117.1781464,484.10,4.50,WIFI
F8:BB:BF:AD:57:05,,[OPEN],2025-3-28 4:4:25,1,-85,34.0264587,-117.1781464,484.10,4.50,WIFI
F8:BB:BF:AD:57:01,,[WPA3_PSK],2025-3-28 4:4:25,1,-85,34.0264587,-117.1781464,484.10,4.50,WIFI
6C:AE:F6:9D:6D:F5,,[OPEN],2025-3-28 4:4:25,1,-86,34.0264587,-117.1781464,484.10,4.50,WIFI
6C:AE:F6:9D:6D:F1,,[WPA3_PSK],2025-3-28 4:4:25,1,-86,34.0264587,-117.1781464,484.10,4.50,WIFI
6C:AE:F6:9D:6D:F3,Force1,[WPA2_PSK],2025-3-28 4:4:25,1,-86,34.0264587,-117.1781464,484.10,4.50,WIFI
22:48:6C:4D:34:70,,[WPA2_PSK],2025-3-28 4:4:25,1,-90,34.0264587,-117.1781464,484.10,4.50,WIFI
60:D2:48:0C:45:88,Frontier2432,[WPA2_PSK],2025-3-28 4:4:25,1,-91,34.0264587,-117.1781464,484.10,4.50,WIFI
22:64:1F:4A:F2:AB,Bedroom TV,[OPEN],2025-3-28 4:4:32,6,-87,34.0272102,-117.1788712,475.80,4.50,WIFI
DA:6A:91:D6:A3:F2,Tesla 2.4,[WPA2_PSK],2025-3-28 4:4:32,6,-91,34.0272102,-117.1788712,475.80,4.50,WIFI
80:CC:9C:3D:63:96,,[WPA2_PSK],2025-3-28 4:4:32,6,-94,34.0272102,-117.1788712,475.80,4.50,WIFI
08:36:C9:95:66:EE,The Cheng's Castle,[WPA2_PSK],2025-3-28 4:4:34,8,-84,34.0274315,-117.1790237,474.10,4.50,WIFI
0E:36:C9:95:66:EE,,[WPA2_PSK],2025-3-28 4:4:34,8,-87,34.0274315,-117.1790237,474.10,4.50,WIFI
98:ED:7E:8C:62:04,,[WPA3_PSK],2025-3-28 4:4:37,11,-89,34.0278168,-117.1791534,471.10,4.50,WIFI
98:ED:7E:8C:62:0A,,[OPEN],2025-3-28 4:4:37,11,-89,34.0278168,-117.1791534,471.10,4.50,WIFI
98:ED:7E:8C:62:07,RedlandsHouse,[WPA2_PSK],2025-3-28 4:4:37,11,-89,34.0278168,-117.1791534,471.10,4.50,WIFI
8C:3B:AD:9E:F4:64,ngHub_31948CN702284,[WPA2_PSK],2025-3-28 4:4:37,11,-92,34.0278168,-117.1791534,471.10,4.50,WIFI
08:7B:12:44:2A:E6,Frontier0574,[WPA2_PSK],2025-3-28 4:4:40,1,-81,34.0282135,-117.1792526,467.10,4.50,WIFI
20:C9:D0:18:5E:B1,CondonAir,[WPA2_PSK],2025-3-28 4:4:42,2,-87,34.0284691,-117.1793594,465.40,4.50,WIFI
D0:16:7C:15:42:02,,[WPA3_PSK],2025-3-28 4:4:46,6,-74,34.0289993,-117.1796494,464.10,4.50,WIFI
D0:16:7C:15:42:06,,[OPEN],2025-3-28 4:4:46,6,-75,34.0289993,-117.1796494,464.10,4.50,WIFI
D0:16:7C:15:42:04,Fishmotel,[WPA2_PSK],2025-3-28 4:4:46,6,-77,34.0289993,-117.1796494,464.10,4.50,WIFI
A0:8C:FD:5C:D6:69,DIRECT-02-HP OfficeJet Pro 8710,[WPA2_PSK],2025-3-28 4:4:46,6,-93,34.0289993,-117.1796494,464.10,4.50,WIFI
14:C0:3E:FB:8F:18,Frontier9904,[WPA2_PSK],2025-3-28 4:4:51,11,-93,34.0295486,-117.1802139,461.20,4.50,WIFI
BC:96:E5:45:1E:B8,SpectrumSetup-1EB4,[WPA2_PSK],2025-3-28 4:4:54,1,-82,34.0298462,-117.1805420,458.10,4.50,WIFI
48:D2:4F:F7:33:7E,SpectrumSetup-78,[WPA2_PSK],2025-3-28 4:4:54,1,-85,34.0298462,-117.1805420,458.10,4.50,WIFI
08:36:C9:FD:A6:D8,,[WPA2_PSK],2025-3-28 4:4:57,3,-91,34.0302086,-117.1807709,454.90,4.50,WIFI
12:36:C9:FD:A1:D0,NETGEAR-Guest,[OPEN],2025-3-28 4:4:57,3,-92,34.0302086,-117.1807709,454.90,4.50,WIFI
08:36:C9:FD:A1:D0,,[WPA2_PSK],2025-3-28 4:4:57,3,-96,34.0302086,-117.1807709,454.90,4.50,WIFI
62:62:8B:42:AC:9E,,[WPA2_PSK],2025-3-28 4:4:59,5,-91,34.0304794,-117.1808472,452.80,4.50,WIFI
5C:62:8B:42:AC:9E,Suh,[WPA2_PSK],2025-3-28 4:4:59,5,-92,34.0304794,-117.1808472,452.80,4.50,WIFI
28:EC:22:4C:F0:46,Vanvleet,[WPA2_PSK],2025-3-28 4:5:0,6,-73,34.0306091,-117.1808777,452.30,4.50,WIFI
28:EC:22:4C:F0:49,,[OPEN],2025-3-28 4:5:0,6,-73,34.0306091,-117.1808777,452.30,4.50,WIFI
28:EC:22:4C:F0:43,,[WPA3_PSK],2025-3-28 4:5:0,6,-74,34.0306091,-117.1808777,452.30,4.50,WIFI
FC:3F:A6:85:81:E3,,[WPA3_PSK],2025-3-28 4:5:0,6,-77,34.0306091,-117.1808777,452.30,4.50,WIFI
FC:3F:A6:85:81:E9,,[OPEN],2025-3-28 4:5:0,6,-77,34.0306091,-117.1808777,452.30,4.50,WIFI
FC:3F:A6:85:81:E6,Korhely,[WPA2_PSK],2025-3-28 4:5:0,6,-79,34.0306091,-117.1808777,452.30,4.50,WIFI
2A:0F:EB:B0:83:01,TEG-D48,[WPA2_PSK],2025-3-28 4:5:0,6,-83,34.0306091,-117.1808777,452.30,4.50,WIFI
A0:55:1F:19:D2:C7,QueenKristina,[WPA2_PSK],2025-3-28 4:5:0,6,-88,34.0306091,-117.1808777,452.30,4.50,WIFI
