WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
EC:6E:79:09:86:10,2257,[WPA2_PSK],2025-3-24 21:57:52,1,-70,34.1018944,-117.2087860,330.70,2.50,WIFI
00:18:0A:7F:3E:B3,CAC WiFi,[WPA_WPA2_PSK],2025-3-24 21:57:52,1,-80,34.1018944,-117.2087860,330.70,2.50,WIFI
BC:82:5D:A7:7D:D5,WiFi Hotspot 6164,[WPA2_PSK],2025-3-24 21:57:52,1,-81,34.1018944,-117.2087860,330.70,2.50,WIFI
EC:6E:79:05:9C:36,1565,[WPA2_PSK],2025-3-24 21:57:52,1,-87,34.1018944,-117.2087860,330.70,2.50,WIFI
CA:2C:4F:BB:C6:7C,HiSmart-01-ca2c4fbbc67c,[OPEN],2025-3-24 21:57:54,3,-87,34.1015358,-117.2087936,327.60,2.50,WIFI
B2:00:73:76:3C:D9,myChevrolet,[WPA2_PSK],2025-3-24 21:57:57,6,-72,34.1009750,-117.2087936,326.20,2.50,WIFI
AC:8B:A9:4E:07:42,CAC WiFi,[WPA2_PSK],2025-3-24 21:57:57,6,-84,34.1009750,-117.2087936,326.20,2.50,WIFI
60:3A:7C:C4:14:D9,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:16,11,-90,34.0969696,-117.2088013,323.40,1.50,WIFI
60:3A:7C:C4:14:C7,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:30,11,-86,34.0938759,-117.2087784,325.70,1.50,WIFI
60:3A:7C:C4:14:0D,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:32,1,-87,34.0934105,-117.2087784,325.50,1.50,WIFI
5C:64:F1:70:36:42,iHammer,[WPA2_PSK],2025-3-24 21:58:39,6,-84,34.0917854,-117.2087784,323.00,1.50,WIFI
5C:64:F1:70:36:41,bandsaw,[WPA2],2025-3-24 21:58:39,6,-85,34.0917854,-117.2087784,323.00,1.50,WIFI
5C:64:F1:70:36:44,orange12,[WPA_WPA2_PSK],2025-3-24 21:58:39,6,-85,34.0917854,-117.2087784,323.00,1.50,WIFI
5C:64:F1:70:36:40,steel,[WPA2_PSK],2025-3-24 21:58:39,6,-86,34.0917854,-117.2087784,323.00,1.50,WIFI
5C:64:F1:70:36:43,tablesaw,[WPA2_PSK],2025-3-24 21:58:39,6,-87,34.0917854,-117.2087784,323.00,1.50,WIFI
0C:73:29:EE:DC:1B,Chimo,[WPA2_PSK],2025-3-24 21:58:44,11,-91,34.0905647,-117.2087860,323.70,1.50,WIFI
F4:2A:7D:2F:12:25,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:44,11,-93,34.0905647,-117.2087860,323.70,1.50,WIFI
60:3A:7C:C4:14:21,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:46,1,-79,34.0900650,-117.2087860,325.80,1.50,WIFI
60:3A:7C:C4:14:4B,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:46,1,-89,34.0900650,-117.2087860,325.80,1.50,WIFI
80:EA:07:39:63:E2,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:46,1,-89,34.0900650,-117.2087860,325.80,1.50,WIFI
60:3A:7C:C4:14:CD,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:53,6,-72,34.0884132,-117.2088013,333.00,1.50,WIFI
F4:2A:7D:2F:13:19,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:53,6,-88,34.0884132,-117.2088013,333.00,1.50,WIFI
00:30:44:6E:E1:17,IBR600C-116,[WPA2_PSK],2025-3-24 21:58:53,6,-92,34.0884132,-117.2088013,333.00,1.50,WIFI
60:3A:7C:C4:14:93,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:58,11,-79,34.0873756,-117.2088013,334.30,1.50,WIFI
60:3A:7C:C4:14:03,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:58,11,-79,34.0873756,-117.2088013,334.30,1.50,WIFI
60:3A:7C:C4:14:DF,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:58:58,11,-81,34.0873756,-117.2088013,334.30,1.50,WIFI
60:3A:7C:C4:14:53,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:59:0,1,-77,34.0869789,-117.2088013,334.60,1.50,WIFI
48:91:D5:5C:41:62,MCS-Wireless,[WPA2_PSK],2025-3-24 21:59:0,1,-81,34.0869789,-117.2088013,334.60,1.50,WIFI
3E:EF:95:B1:D3:CB,Galaxy S24 66BC,[WPA2_PSK],2025-3-24 21:59:0,1,-89,34.0869789,-117.2088013,334.60,1.50,WIFI
FA:DA:0C:5A:91:7F,DIRECT-7F-HP M608 LaserJet,[WPA2_PSK],2025-3-24 21:59:4,3,-84,34.0862160,-117.2088089,335.10,1.50,WIFI
02:5C:18:1C:1A:47,Galaxy A13 5GC06F,[WPA2_PSK],2025-3-24 21:59:7,6,-77,34.0857124,-117.2088089,335.40,1.50,WIFI
60:3A:7C:C4:14:87,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:59:7,6,-82,34.0857124,-117.2088089,335.40,1.50,WIFI
AE:8B:A9:1A:D6:F2,PML-RFGuns,[WPA2_PSK],2025-3-24 21:59:7,6,-86,34.0857124,-117.2088089,335.40,1.50,WIFI
AE:8B:A9:3A:D6:F2,,[WPA2_PSK],2025-3-24 21:59:7,6,-87,34.0857124,-117.2088089,335.40,1.50,WIFI
AC:8B:A9:4A:D6:F2,PML-Staff,[WPA2_PSK],2025-3-24 21:59:7,6,-88,34.0857124,-117.2088089,335.40,1.50,WIFI
24:CD:8D:CD:E6:09,OC-AGS 28 -side_right-490262,[WPA2_PSK],2025-3-24 21:59:7,6,-88,34.0857124,-117.2088089,335.40,1.50,WIFI
F8:8C:21:DF:1D:F7,GoPlus_2.4G,[WPA_WPA2_PSK],2025-3-24 21:59:7,6,-90,34.0857124,-117.2088089,335.40,1.50,WIFI
AE:8B:A9:2A:D6:F2,PML-Guest,[OPEN],2025-3-24 21:59:7,6,-93,34.0857124,-117.2088089,335.40,1.50,WIFI
9C:05:D6:F7:7F:BC,lss-wireoff,[WPA2_WPA3_PSK],2025-3-24 21:59:11,10,-87,34.0850639,-117.2088013,335.90,1.50,WIFI
