WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
3C:8C:F8:F9:0A:BB,TRENDnet740_RFJA,[WPA2],2025-12-3 17:14:17,1,-71,34.0625763,-117.1963806,374.50,2.00,WIFI
C4:EB:42:81:3B:67,TMOBILE-3B61,[WPA2_WPA3_PSK],2025-12-3 17:14:17,1,-82,34.0625763,-117.1963806,374.50,2.00,WIFI
D0:6D:C9:2E:66:56,Vet_Bld,[WPA2_PSK],2025-12-3 17:14:17,1,-83,34.0625763,-117.1963806,374.50,2.00,WIFI
24:C9:A1:2A:AA:68,Ayres Hotels,[OPEN],2025-12-3 17:14:19,3,-65,34.0625725,-117.1963806,374.10,2.00,WIFI
52:49:10:42:35:8D,CHEVROLET_3870,[WPA2_WPA3_PSK],2025-12-3 17:14:22,6,-81,34.0625725,-117.1963882,373.70,2.00,WIFI
00:C0:02:3F:5B:23,Motel6(Macrotech),[OPEN],2025-12-3 17:14:22,6,-85,34.0625725,-117.1963882,373.70,2.00,WIFI
24:C9:A1:31:41:B8,Ayres Hotels,[OPEN],2025-12-3 17:14:24,8,-83,34.0625725,-117.1963882,373.50,2.00,WIFI
2C:E6:CC:12:48:88,Ayres Hotels,[OPEN],2025-12-3 17:14:27,11,-72,34.0625687,-117.1964035,373.10,2.00,WIFI
D0:6D:C9:22:97:C6,Frontier0404,[WPA2_PSK],2025-12-3 17:14:27,11,-88,34.0625687,-117.1964035,373.10,2.00,WIFI
2C:E6:CC:12:29:58,Ayres Hotels,[OPEN],2025-12-3 17:14:27,11,-88,34.0625687,-117.1964035,373.10,2.00,WIFI
2C:E6:CC:12:53:78,Ayres Hotels,[OPEN],2025-12-3 17:14:27,11,-91,34.0625687,-117.1964035,373.10,2.00,WIFI
E0:E1:A9:0B:BC:AB,,[WPA2_PSK],2025-12-3 17:14:29,13,-89,34.0625687,-117.1964111,372.90,2.00,WIFI
22:AD:56:4F:11:89,Hotspot1189,[WPA_WPA2_PSK],2025-12-3 17:14:29,1,-85,34.0625687,-117.1964111,372.90,2.00,WIFI
78:8A:20:24:89:6B,ToyotaSecure,[WPA2_PSK],2025-12-3 17:14:41,11,-83,34.0627098,-117.1964493,372.00,2.00,WIFI
7E:8A:20:24:89:6B,TOR,[WPA2_PSK],2025-12-3 17:14:41,11,-85,34.0627098,-117.1964493,372.00,2.00,WIFI
28:EC:22:22:16:A6,Splitz EB,[WPA2_PSK],2025-12-3 17:14:44,1,-65,34.0627518,-117.1964417,372.40,2.00,WIFI
28:EC:22:1D:1A:CF,Let’s Go Brandon,[WPA2_PSK],2025-12-3 17:14:44,1,-84,34.0627518,-117.1964417,372.40,2.00,WIFI
2C:E6:CC:12:4F:98,Ayres Hotels,[OPEN],2025-12-3 17:14:44,1,-88,34.0627518,-117.1964417,372.40,2.00,WIFI
24:C9:A1:31:5B:C8,Ayres Hotels,[OPEN],2025-12-3 17:14:48,4,-65,34.0627518,-117.1964417,372.60,2.00,WIFI
FE:84:A7:16:D2:26,My VW 3975,[WPA2_PSK],2025-12-3 17:14:50,6,-64,34.0627518,-117.1964417,372.50,2.00,WIFI
AC:15:A2:CF:D1:94,RCC-NET,[WPA2_PSK],2025-12-3 17:14:50,6,-82,34.0627518,-117.1964417,372.50,2.00,WIFI
00:30:44:59:64:03,IBR600C-402,[WPA2_PSK],2025-12-3 17:14:50,6,-82,34.0627518,-117.1964417,372.50,2.00,WIFI
FC:DB:21:8F:AE:E3,Pro Energy Vehicle Wifi,[WPA2_WPA3_PSK],2025-12-3 17:14:50,6,-87,34.0627518,-117.1964417,372.50,2.00,WIFI
34:98:B5:5A:9D:2F,ShakeysEclub,[WPA2_PSK],2025-12-3 17:14:54,10,-81,34.0628014,-117.1963577,373.20,2.00,WIFI
C4:49:BB:BA:0D:3F,WiFi Hotspot 6207,[WPA2_PSK],2025-12-3 17:14:55,11,-84,34.0627937,-117.1963120,373.40,2.00,WIFI
82:8A:20:24:89:6B,,[WPA2_PSK],2025-12-3 17:14:55,11,-88,34.0627937,-117.1963120,373.40,2.00,WIFI
82:8A:20:24:89:6F,,[WPA2_PSK],2025-12-3 17:14:55,11,-89,34.0627937,-117.1963120,373.40,2.00,WIFI
72:D7:9A:D1:0D:A3,amusementconnect,[WPA2_PSK],2025-12-3 17:14:55,11,-91,34.0627937,-117.1963120,373.40,2.00,WIFI
40:47:5E:E0:6A:A6,Splitz EB,[WPA2_PSK],2025-12-3 17:14:58,1,-64,34.0627213,-117.1960983,375.00,2.00,WIFI
40:47:5E:E0:6A:AF,Let’s Go Brandon,[WPA2_PSK],2025-12-3 17:14:58,1,-64,34.0627213,-117.1960983,375.00,2.00,WIFI
40:47:5E:E0:6A:A9,,[OPEN],2025-12-3 17:14:58,1,-66,34.0627213,-117.1960983,375.00,2.00,WIFI
40:47:5E:E0:6A:A3,,[WPA3_PSK],2025-12-3 17:14:58,1,-67,34.0627213,-117.1960983,375.00,2.00,WIFI
28:EC:22:22:16:AF,Let’s Go Brandon,[WPA2_PSK],2025-12-3 17:14:58,1,-72,34.0627213,-117.1960983,375.00,2.00,WIFI
28:EC:22:1D:1A:C9,,[OPEN],2025-12-3 17:14:58,1,-77,34.0627213,-117.1960983,375.00,2.00,WIFI
28:EC:22:1D:1A:C3,,[WPA3_PSK],2025-12-3 17:14:58,1,-79,34.0627213,-117.1960983,375.00,2.00,WIFI
28:EC:22:1D:1A:C6,Splitz EB,[WPA2_PSK],2025-12-3 17:14:58,1,-81,34.0627213,-117.1960983,375.00,2.00,WIFI
22:9A:63:7D:4B:F5,,[WPA2_PSK],2025-12-3 17:14:58,1,-82,34.0627213,-117.1960983,375.00,2.00,WIFI
2C:E6:CC:3F:01:B8,Ayres Hotels,[OPEN],2025-12-3 17:15:2,4,-82,34.0626450,-117.1958466,379.10,2.00,WIFI
66:6C:80:61:28:01,DIRECT-01-HP M283 LaserJet,[WPA2_PSK],2025-12-3 17:15:4,6,-87,34.0625763,-117.1958237,381.80,2.00,WIFI
02:FE:5D:BD:2A:00,Pvt.WFR_Denali.8510,[WPA2_PSK],2025-12-3 17:15:4,6,-90,34.0625763,-117.1958237,381.80,2.00,WIFI
54:13:79:3F:02:7C,SETUP,[OPEN],2025-12-3 17:15:9,11,-75,34.0621643,-117.1958160,382.50,2.00,WIFI
00:54:AF:4F:02:FD,Hotspot02FD,[WPA_WPA2_PSK],2025-12-3 17:15:9,11,-78,34.0621643,-117.1958160,382.50,2.00,WIFI
E0:E1:A9:0B:FF:A4,RV2458-2.4G,[WPA2_PSK],2025-12-3 17:15:9,11,-81,34.0621643,-117.1958160,382.50,2.00,WIFI
78:8A:20:24:8B:DC,ToyotaSecure,[WPA2_PSK],2025-12-3 17:15:9,11,-84,34.0621643,-117.1958160,382.50,2.00,WIFI
7E:8A:20:24:8B:DC,TOR,[WPA2_PSK],2025-12-3 17:15:9,11,-87,34.0621643,-117.1958160,382.50,2.00,WIFI
AC:B6:87:38:B1:81,Verizon_PQ9TNZ,[WPA2_PSK],2025-12-3 17:15:9,11,-90,34.0621643,-117.1958160,382.50,2.00,WIFI
54:21:60:14:19:55,Alula141954,[WPA_WPA2_PSK],2025-12-3 17:15:12,1,-62,34.0618515,-117.1958084,382.00,2.00,WIFI
04:B6:BE:8D:CD:F4,,[WPA_WPA2_PSK],2025-12-3 17:15:12,1,-82,34.0618515,-117.1958084,382.00,2.00,WIFI
28:70:4E:75:50:D5,asp_redlands,[WPA2_PSK],2025-12-3 17:15:12,1,-82,34.0618515,-117.1958084,382.00,2.00,WIFI
54:04:63:C5:02:71,,[WPA_WPA2_PSK],2025-12-3 17:15:12,1,-88,34.0618515,-117.1958084,382.00,2.00,WIFI
2C:E6:CC:12:43:98,Ayres Hotels,[OPEN],2025-12-3 17:15:16,4,-87,34.0614090,-117.1958160,380.50,2.00,WIFI
FA:0D:AC:76:C7:0E,DIRECT-0E-HP M428fdw LJ,[WPA2_PSK],2025-12-3 17:15:18,6,-77,34.0611610,-117.1958084,379.40,2.00,WIFI
AC:15:A2:CF:D1:8A,RCC-NET,[WPA2_PSK],2025-12-3 17:15:18,6,-88,34.0611610,-117.1958084,379.40,2.00,WIFI
F8:E4:FB:97:86:22,BENJARONG1001,[WEP],2025-12-3 17:15:33,6,-91,34.0598564,-117.1949310,372.80,2.00,WIFI
28:38:5C:3F:B1:BC,HotspotpTiQ,[WPA_WPA2_PSK],2025-12-3 17:15:33,6,-92,34.0598564,-117.1949310,372.80,2.00,WIFI
F4:63:49:D3:64:17,Franklin T10 5960,[WPA2_PSK],2025-12-3 17:15:41,1,-88,34.0596199,-117.1937866,371.50,2.00,WIFI
14:7D:05:9E:DE:A3,SpectrumSetup-A1,[WPA2_PSK],2025-12-3 17:15:41,1,-89,34.0596199,-117.1937866,371.50,2.00,WIFI
F2:CB:BC:8C:25:AF,student_data,[WPA2],2025-12-3 17:15:52,11,-78,34.0596123,-117.1925201,372.10,2.00,WIFI
FE:CB:BC:8C:25:AF,RUSD_WiFi,[WPA2],2025-12-3 17:15:52,11,-78,34.0596123,-117.1925201,372.10,2.00,WIFI
DA:CB:BC:8C:25:AF,RUSD_Devices,[WPA2_PSK],2025-12-3 17:15:52,11,-80,34.0596123,-117.1925201,372.10,2.00,WIFI
24:F3:E3:C9:F1:C6,TexasHouse,[WPA2_PSK],2025-12-3 17:15:55,1,-77,34.0596123,-117.1922455,372.40,2.00,WIFI
F4:E2:C6:A8:2C:21,RedlandsUtilityService,[WPA2_PSK],2025-12-3 17:15:55,1,-88,34.0596123,-117.1922455,372.40,2.00,WIFI
E2:07:B6:73:0A:EA,,[WPA2_PSK],2025-12-3 17:16:1,6,-66,34.0596123,-117.1917572,373.50,2.00,WIFI
D8:07:B6:73:0A:EA,Ewater,[WPA2_PSK],2025-12-3 17:16:1,6,-67,34.0596123,-117.1917572,373.50,2.00,WIFI
DE:07:B6:73:0A:EA,Ewater_Guest,[OPEN],2025-12-3 17:16:1,6,-70,34.0596123,-117.1917572,373.50,2.00,WIFI
