WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
5C:62:8B:42:B2:68,Paulson Ortho,[WPA2_PSK],,2,-90,34.0526161,-117.1805725,386.90,2.25,WIFI
6A:62:8B:42:B2:68,Paulson Ortho_MLO,[WPA3_PSK],,2,-90,34.0526161,-117.1805725,386.90,2.25,WIFI
66:62:8B:42:B2:68,,[WPA2_PSK],,2,-91,34.0526161,-117.1805725,386.90,2.25,WIFI
B2:8B:A9:9D:09:AB,,[WPA2_PSK],2025-12-18 16:45:5,6,-91,34.0526161,-117.1805725,387.60,2.25,WIFI
B2:8B:A9:9D:28:94,,[WPA2_PSK],2025-12-18 16:45:5,6,-93,34.0526161,-117.1805725,387.60,2.25,WIFI
AC:8B:A9:9D:28:94,Cajon Dental,[WPA2_PSK],2025-12-18 16:45:5,6,-94,34.0526161,-117.1805725,387.60,2.25,WIFI
AC:8B:A9:9D:09:AB,Cajon Dental,[WPA2_PSK],2025-12-18 16:45:5,6,-95,34.0526161,-117.1805725,387.60,2.25,WIFI
3E:94:ED:58:1D:17,,[WPA2_PSK],2025-12-18 16:45:9,10,-73,34.0526161,-117.1805725,388.10,2.25,WIFI
38:94:ED:58:1D:17,Primemill,[WPA2_PSK],2025-12-18 16:45:9,10,-74,34.0526161,-117.1805725,388.10,2.25,WIFI
38:94:ED:69:57:9C,,[WPA2_PSK],2025-12-18 16:45:9,10,-76,34.0526161,-117.1805725,388.10,2.25,WIFI
3E:94:ED:69:57:9C,Primemill,[WPA2_PSK],2025-12-18 16:45:9,10,-77,34.0526161,-117.1805725,388.10,2.25,WIFI
3E:94:ED:69:56:D4,Primemill,[WPA2_PSK],2025-12-18 16:45:9,10,-86,34.0526161,-117.1805725,388.10,2.25,WIFI
62:62:8B:42:B2:68,Paulson Ortho-guest,[WPA2_PSK],2025-12-18 16:45:15,2,-91,34.0526123,-117.1805725,388.90,2.00,WIFI
4C:19:5D:92:F9:43,SpectrumSetup-3D,[WPA2_PSK],2025-12-18 16:45:19,6,-88,34.0526085,-117.1805725,389.60,2.00,WIFI
38:94:ED:69:56:D4,,[WPA2_PSK],2025-12-18 16:45:23,10,-83,34.0526085,-117.1805725,389.90,2.00,WIFI
B6:8B:A9:DB:1C:99,WB-IO,[WPA2_PSK],2025-12-18 16:45:47,6,-85,34.0528831,-117.1808167,389.50,1.75,WIFI
B2:8B:A9:DB:1C:99,CajonSt,[WPA2_PSK],2025-12-18 16:45:47,6,-86,34.0528831,-117.1808167,389.50,1.75,WIFI
AC:8B:A9:D6:81:D5,WBnet,[WPA2_PSK],2025-12-18 16:45:47,6,-91,34.0528831,-117.1808167,389.50,1.75,WIFI
B6:8B:A9:D6:81:D5,WB-IO,[WPA2_PSK],2025-12-18 16:45:47,6,-91,34.0528831,-117.1808167,389.50,1.75,WIFI
B2:8B:A9:D6:81:D5,CajonSt,[WPA2_PSK],2025-12-18 16:45:47,6,-93,34.0528831,-117.1808167,389.50,1.75,WIFI
4C:AB:F8:4C:31:0D,SpectrumSetup-0F,[WPA2_PSK],2025-12-18 16:46:1,6,-90,34.0533676,-117.1811905,387.90,1.75,WIFI
7C:DB:98:EB:44:EE,MySpectrumWiFiF0-2G,[WPA2_PSK],2025-12-18 16:46:1,6,-93,34.0533676,-117.1811905,387.90,1.75,WIFI
54:47:CC:F5:CA:06,Frontier0196,[WPA2_PSK],2025-12-18 16:46:15,6,-83,34.0540390,-117.1801758,388.30,1.75,WIFI
80:2A:A8:91:F4:F2,sbel,[WPA2_PSK],2025-12-18 16:46:15,6,-90,34.0540390,-117.1801758,388.30,1.75,WIFI
86:2A:A8:91:F4:F2,sbel-guest,[WPA2_PSK],2025-12-18 16:46:15,6,-93,34.0540390,-117.1801758,388.30,1.75,WIFI
8A:2A:A8:91:F4:F2,,[WPA2_PSK],2025-12-18 16:46:15,6,-93,34.0540390,-117.1801758,388.30,1.75,WIFI
D6:CA:35:2D:A7:DB,Thelofthairstudio,[WPA2_PSK],2025-12-18 16:46:20,11,-94,34.0542374,-117.1800079,388.20,1.75,WIFI
1E:C2:98:8D:E3:70,,[WPA2_PSK],2025-12-18 16:46:20,11,-94,34.0542374,-117.1800079,388.20,1.75,WIFI
1E:C2:98:2D:E3:70,Thelofthairstudio,[WPA2_PSK],2025-12-18 16:46:20,11,-95,34.0542374,-117.1800079,388.20,1.75,WIFI
78:8A:20:81:DB:92,DiehlOrtho,[WPA2_PSK],2025-12-18 16:46:23,1,-81,34.0544014,-117.1800995,387.80,1.75,WIFI
7E:8A:20:81:DB:92,Diehlortho-Guest,[WPA2_PSK],2025-12-18 16:46:23,1,-81,34.0544014,-117.1800995,387.80,1.75,WIFI
82:8A:20:81:DB:92,,[WPA2_PSK],2025-12-18 16:46:23,1,-81,34.0544014,-117.1800995,387.80,1.75,WIFI
14:C0:3E:EC:1A:E8,Frontier7120,[WPA2_PSK],2025-12-18 16:46:23,1,-87,34.0544014,-117.1800995,387.80,1.75,WIFI
62:03:8E:BA:8B:A9,,[WPA2_PSK],2025-12-18 16:46:27,4,-87,34.0545769,-117.1802368,387.20,1.75,WIFI
62:03:8E:BA:8B:A8,TrouxStudio,[WPA2_PSK],2025-12-18 16:46:27,4,-88,34.0545769,-117.1802368,387.20,1.75,WIFI
62:03:8E:BA:8B:AA,TP-Link_Guest_8BB0,[WPA2_PSK],2025-12-18 16:46:27,4,-89,34.0545769,-117.1802368,387.20,1.75,WIFI
8E:78:48:A6:79:90,,[WPA2_PSK],2025-12-18 16:46:29,6,-80,34.0546112,-117.1802750,387.10,1.75,WIFI
84:78:48:A6:79:90,SimplyWellness,[WPA2_WPA3_PSK],2025-12-18 16:46:29,6,-81,34.0546112,-117.1802750,387.10,1.75,WIFI
8A:78:48:A6:79:90,,[WPA2_WPA3_PSK],2025-12-18 16:46:29,6,-81,34.0546112,-117.1802750,387.10,1.75,WIFI
98:C8:54:AA:3C:CE,Verizon_YC9S46,[WPA2_PSK],2025-12-18 16:46:29,6,-85,34.0546112,-117.1802750,387.10,1.75,WIFI
28:80:88:3E:10:DE,whitefrog,[WPA2_PSK],2025-12-18 16:46:33,10,-93,34.0546532,-117.1804962,386.30,1.75,WIFI
DC:92:72:4C:70:77,Penthouse Network,[WPA2_WPA3_PSK],2025-12-18 16:46:36,1,-83,34.0546570,-117.1807938,385.60,1.75,WIFI
C4:6E:1F:52:5F:21,300,[WPA_WPA2_PSK],2025-12-18 16:46:36,1,-92,34.0546570,-117.1807938,385.60,1.75,WIFI
