WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
10:DA:43:99:AA:F6,NETGEAR29,[WPA2_PSK],2025-3-21 23:8:20,9,-83,34.0443039,-117.2011414,368.00,3.25,WIFI
00:13:37:AA:3A:34,Redlands Free WiFi,[OPEN],2025-3-21 23:8:22,11,-59,34.0443039,-117.2011490,367.30,3.25,WIFI
02:13:37:AA:3A:34,manage,[WPA2_PSK],2025-3-21 23:8:22,11,-62,34.0443039,-117.2011490,367.30,3.25,WIFI
D4:05:DE:89:EE:67,Honn,[WPA2_PSK],2025-3-21 23:8:22,11,-70,34.0443039,-117.2011490,367.30,3.25,WIFI
D4:05:DE:89:EE:64,,[WPA3_PSK],2025-3-21 23:8:22,11,-70,34.0443039,-117.2011490,367.30,3.25,WIFI
D4:05:DE:89:EE:6A,,[OPEN],2025-3-21 23:8:22,11,-70,34.0443039,-117.2011490,367.30,3.25,WIFI
00:23:A7:D8:D9:89,TEG-1Y9,[WPA_WPA2_PSK],2025-3-21 23:8:22,11,-86,34.0443039,-117.2011490,367.30,3.25,WIFI
22:3E:A4:04:CF:C2,,[WPA2_PSK],2025-3-21 23:8:22,11,-89,34.0443039,-117.2011490,367.30,3.25,WIFI
90:9A:4A:47:AA:E6,joola-5G_2.4GEXT,[WPA2_PSK],2025-3-21 23:8:22,11,-92,34.0443039,-117.2011490,367.30,3.25,WIFI
F8:5B:3B:CE:64:39,MandC,[WPA2_PSK],2025-3-21 23:8:22,11,-92,34.0443039,-117.2011490,367.30,3.25,WIFI
00:17:1A:D5:37:06,Winegard2ghzD53705,[WPA2_PSK],2025-3-21 23:8:22,11,-92,34.0443039,-117.2011490,367.30,3.25,WIFI
84:A0:6E:C9:E2:16,joola-2G,[WPA2_PSK],2025-3-21 23:8:22,11,-92,34.0443039,-117.2011490,367.30,3.25,WIFI
80:69:1A:94:41:B4,Leason2.0,[WPA2_WPA3_PSK],2025-3-21 23:8:34,9,-85,34.0443497,-117.2011337,335.30,3.00,WIFI
86:69:1A:94:41:B4,,[WPA2_WPA3_PSK],2025-3-21 23:8:34,9,-86,34.0443497,-117.2011337,335.30,3.00,WIFI
86:69:1A:94:41:18,,[WPA2_WPA3_PSK],2025-3-21 23:8:43,4,-86,34.0443840,-117.2011490,277.70,3.75,WIFI
F4:52:46:1D:8C:B9,SpectrumSetup-BB,[WPA2_PSK],2025-3-21 23:8:50,11,-91,34.0444069,-117.2011490,240.10,3.50,WIFI
C4:8E:8F:E4:98:76,WIFIE49872,[WPA2_PSK],2025-3-21 23:8:50,11,-94,34.0444069,-117.2011490,240.10,3.50,WIFI
CC:40:D0:A2:8E:62,NETGEAR91,[WPA2_PSK],2025-3-21 23:8:53,1,-94,34.0444069,-117.2011490,231.00,3.50,WIFI
C6:A5:11:13:4D:0C,,[WPA2_PSK],2025-3-21 23:8:57,4,-86,34.0444031,-117.2011414,207.70,3.50,WIFI
A0:64:8F:EA:3E:51,MySpectrumWiFi53-2G,[WPA2_PSK],2025-3-21 23:8:59,6,-85,34.0444069,-117.2011414,199.50,3.50,WIFI
22:48:6C:B1:A8:3B,,[WPA2_PSK],2025-3-21 23:8:59,6,-95,34.0444069,-117.2011414,199.50,3.50,WIFI
02:17:1A:D5:37:06,,[WPA2_PSK],2025-3-21 23:9:4,11,-94,34.0444069,-117.2011108,176.30,3.50,WIFI
8A:0C:7A:D4:2C:F8,,[WPA2_PSK],2025-3-21 23:9:21,1,-92,34.0445671,-117.2010345,113.80,3.50,WIFI
FC:34:97:05:D4:D1,BeOurGuest,[WPA2_WPA3_PSK],2025-3-21 23:9:26,5,-89,34.0446014,-117.2010269,103.80,3.50,WIFI
C2:A5:11:13:4D:0C,ORBI42,[WPA2_PSK],2025-3-21 23:9:39,4,-87,34.0446625,-117.2010269,91.50,3.50,WIFI
54:04:63:FB:12:D8,,[WPA_WPA2_PSK],2025-3-21 23:9:52,3,-93,34.0447044,-117.2010269,84.40,3.50,WIFI
5E:62:8B:2E:D2:82,TheKrellMainframe,[WPA2_PSK],2025-3-21 23:9:58,9,-92,34.0446930,-117.2010117,82.10,2.50,WIFI
2E:80:88:D7:76:8B,Cohen,[WPA2_PSK],2025-3-21 23:10:41,9,-94,34.0442162,-117.2006683,67.80,3.75,WIFI
AA:0C:7A:D4:3E:98,,[WPA2_PSK],2025-3-21 23:10:46,1,-91,34.0441856,-117.2006454,67.30,3.75,WIFI
AA:0C:7A:D4:2C:F8,,[WPA2_PSK],2025-3-21 23:10:46,1,-92,34.0441856,-117.2006454,67.30,3.75,WIFI
58:68:7A:10:AF:16,Cookie,[WPA2_WPA3_PSK],2025-3-21 23:11:28,1,-94,34.0441017,-117.2006607,62.80,2.50,WIFI
