WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
7E:AC:B9:BD:D4:B8,iPhoneSetup,[WPA2_PSK],2025-3-26 3:48:12,1,-70,34.0447121,-117.2015839,375.80,2.00,WIFI
CC:40:D0:A2:8E:62,NETGEAR91,[WPA2_PSK],2025-3-26 3:48:12,1,-70,34.0447121,-117.2015839,375.80,2.00,WIFI
74:AC:B9:BD:D4:B8,BT_Magnolia,[WPA2_PSK],2025-3-26 3:48:12,1,-71,34.0447121,-117.2015839,375.80,2.00,WIFI
7A:AC:B9:BD:D4:B8,BT_Magnolia_guest,[WPA2_PSK],2025-3-26 3:48:12,1,-71,34.0447121,-117.2015839,375.80,2.00,WIFI
82:AC:B9:BD:D4:B8,,[WPA2_PSK],2025-3-26 3:48:12,1,-74,34.0447121,-117.2015839,375.80,2.00,WIFI
DA:31:34:D0:B7:61,DIRECT-roku-457-3A2911,[WPA2_PSK],2025-3-26 3:48:12,1,-84,34.0447121,-117.2015839,375.80,2.00,WIFI
2C:67:BE:09:97:EF,SpectrumSetup-97EB,[WPA2_PSK],2025-3-26 3:48:12,1,-85,34.0447121,-117.2015839,375.80,2.00,WIFI
1E:67:BE:09:97:E9,,[WPA2_PSK],2025-3-26 3:48:12,1,-87,34.0447121,-117.2015839,375.80,2.00,WIFI
A0:04:60:CE:27:AC,NETGEAR49,[WPA2_PSK],2025-3-26 3:48:12,1,-93,34.0447121,-117.2015839,375.80,2.00,WIFI
FC:34:97:05:D4:D0,Belle-2G,[WPA2_PSK],2025-3-26 3:48:13,2,-72,34.0447617,-117.2016220,375.50,2.00,WIFI
FC:34:97:05:D4:D1,BeOurGuest,[WPA2_WPA3_PSK],2025-3-26 3:48:13,2,-72,34.0447617,-117.2016220,375.50,2.00,WIFI
D8:C8:E9:79:87:E2,Lumiere,[WPA2_PSK],2025-3-26 3:48:13,2,-84,34.0447617,-117.2016220,375.50,2.00,WIFI
00:22:6C:A7:D1:04,,[OPEN],2025-3-26 3:48:13,2,-86,34.0447617,-117.2016220,375.50,2.00,WIFI
00:22:6C:A7:DA:30,,[OPEN],2025-3-26 3:48:13,2,-87,34.0447617,-117.2016220,375.50,2.00,WIFI
98:ED:5C:83:A7:13,TeslaPV_83A713,[WPA2_PSK],2025-3-26 3:48:14,3,-90,34.0447998,-117.2016525,375.30,2.00,WIFI
88:57:1D:51:C7:14,[range]_E30AJT7113083P,[WPA2_PSK],2025-3-26 3:48:15,4,-92,34.0448418,-117.2016907,375.00,2.00,WIFI
7A:AC:B9:BD:CB:D1,BT_Magnolia_guest,[WPA2_PSK],2025-3-26 3:48:17,6,-67,34.0448990,-117.2017365,375.00,2.00,WIFI
82:AC:B9:BD:CB:D1,,[WPA2_PSK],2025-3-26 3:48:17,6,-67,34.0448990,-117.2017365,375.00,2.00,WIFI
7E:AC:B9:BD:CB:D1,iPhoneSetup,[WPA2_PSK],2025-3-26 3:48:17,6,-68,34.0448990,-117.2017365,375.00,2.00,WIFI
74:AC:B9:BD:CB:D1,BT_Magnolia,[WPA2_PSK],2025-3-26 3:48:17,6,-69,34.0448990,-117.2017365,375.00,2.00,WIFI
22:48:6C:B1:A8:3B,,[WPA2_PSK],2025-3-26 3:48:17,6,-83,34.0448990,-117.2017365,375.00,2.00,WIFI
D4:3F:32:6C:47:C6,durian,[WPA2_PSK],2025-3-26 3:48:17,6,-85,34.0448990,-117.2017365,375.00,2.00,WIFI
C8:D3:FF:15:93:18,DIRECT-17-HP ENVY 5660 series,[WPA2_PSK],2025-3-26 3:48:17,6,-86,34.0448990,-117.2017365,375.00,2.00,WIFI
D4:3F:32:6C:47:C3,,[WPA3_PSK],2025-3-26 3:48:17,6,-86,34.0448990,-117.2017365,375.00,2.00,WIFI
A4:11:62:72:9A:12,ARLO_VMB_4422026869,[WPA2_PSK],2025-3-26 3:48:19,8,-81,34.0449409,-117.2017593,375.10,2.00,WIFI
D8:EC:5E:7E:62:DA,Lashin,[WPA2_PSK],2025-3-26 3:48:19,8,-89,34.0449409,-117.2017593,375.10,2.00,WIFI
5C:E9:31:4C:6D:1E,Frontier2816,[WPA2_PSK],2025-3-26 3:48:20,9,-92,34.0449677,-117.2017593,375.10,2.00,WIFI
58:2F:F7:68:A1:56,SpectrumSetup-50,[WPA2_PSK],2025-3-26 3:48:22,11,-81,34.0450325,-117.2017365,375.40,2.00,WIFI
00:13:37:AA:3A:34,Redlands Free WiFi,[OPEN],2025-3-26 3:48:22,11,-83,34.0450325,-117.2017365,375.40,2.00,WIFI
02:13:37:AA:3A:34,manage,[WPA2_PSK],2025-3-26 3:48:22,11,-84,34.0450325,-117.2017365,375.40,2.00,WIFI
66:CB:E9:7C:99:EC,[LG_Oven]99ec,[WPA2_PSK],2025-3-26 3:48:22,11,-86,34.0450325,-117.2017365,375.40,2.00,WIFI
F8:F5:32:4C:34:08,Frontier0816,[WPA2_PSK],2025-3-26 3:48:22,11,-88,34.0450325,-117.2017365,375.40,2.00,WIFI
00:CB:51:4F:64:8E,MySpectrumWiFi88-2G,[WPA2_PSK],2025-3-26 3:48:25,1,-90,34.0451279,-117.2015839,375.40,2.00,WIFI
A0:89:66:8D:EC:20,,[WPA_WPA2_PSK],2025-3-26 3:48:27,2,-95,34.0452080,-117.2014313,375.50,2.00,WIFI
28:C2:DD:BD:4C:74,WMbd4c74,[OPEN],2025-3-26 3:48:28,3,-89,34.0452461,-117.2013626,375.50,2.00,WIFI
C0:C9:E3:8D:C5:86,Hanfamily 2.0,[WPA2_PSK],2025-3-26 3:48:28,3,-90,34.0452461,-117.2013626,375.50,2.00,WIFI
80:69:1A:94:41:18,Leason2.0,[WPA2_WPA3_PSK],2025-3-26 3:48:29,4,-87,34.0452881,-117.2012863,375.30,2.00,WIFI
9C:A5:70:9B:A0:05,Normanrose,[WPA2_PSK],2025-3-26 3:48:31,6,-72,34.0453491,-117.2011871,375.30,2.00,WIFI
