WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
98:ED:5C:83:A7:13,TeslaPV_83A713,[WPA2_PSK],2025-12-16 0:4:9,3,-80,34.0443954,-117.2011566,361.90,1.75,WIFI
A4:11:62:72:9A:12,ARLO_VMB_4422026869,[WPA2_PSK],2025-12-16 0:4:17,11,-91,34.0443993,-117.2011566,362.20,1.75,WIFI
90:CA:FA:9B:5C:CF,The Force,[WPA2_PSK],2025-12-16 0:4:17,11,-96,34.0443993,-117.2011566,362.20,1.75,WIFI
58:68:7A:10:AF:17,Cookie,[WPA2_WPA3_PSK],2025-12-16 0:4:20,1,-92,34.0443916,-117.2011795,362.40,1.75,WIFI
1E:67:BE:09:97:E8,,[WPA2_PSK],2025-12-16 0:4:34,1,-90,34.0443535,-117.2012787,363.20,1.75,WIFI
1E:67:BE:09:97:E9,,[WPA2_PSK],2025-12-16 0:4:34,1,-91,34.0443535,-117.2012787,363.20,1.75,WIFI
2C:67:BE:09:97:EF,SpectrumSetup-97EB,[WPA2_PSK],2025-12-16 0:4:34,1,-91,34.0443535,-117.2012787,363.20,1.75,WIFI
22:3E:A4:04:CF:C2,,[WPA2_PSK],2025-12-16 0:4:45,11,-93,34.0447769,-117.2016678,361.10,1.75,WIFI
CC:40:D0:A2:8E:62,NETGEAR91,[WPA2_PSK],2025-12-16 0:4:48,1,-89,34.0449028,-117.2017517,360.70,1.75,WIFI
30:0E:B8:25:39:F8,CAR-4504,[WPA2_PSK],2025-12-16 0:4:48,1,-93,34.0449028,-117.2017517,360.70,1.75,WIFI
F4:52:46:1D:8C:B9,Gaston,[WPA2_PSK],2025-12-16 0:4:48,1,-95,34.0449028,-117.2017517,360.70,1.75,WIFI
9C:0B:05:C3:67:C4,,[WPA3_PSK],2025-12-16 0:4:54,6,-89,34.0449905,-117.2017593,360.60,1.75,WIFI
74:AC:B9:BD:D4:B8,BT_Magnolia,[WPA2_PSK],2025-12-16 0:4:54,6,-95,34.0449905,-117.2017593,360.60,1.75,WIFI
A0:8A:06:C5:85:A7,joola-2G,[WPA2_PSK],2025-12-16 0:4:59,11,-93,34.0451813,-117.2015076,360.30,1.75,WIFI
58:2F:F7:68:A1:56,SpectrumSetup-50,[WPA2_PSK],2025-12-16 0:4:59,11,-96,34.0451813,-117.2015076,360.30,1.75,WIFI
00:30:44:47:26:BD,MV-40,[WPA2_PSK],2025-12-16 0:5:2,1,-94,34.0452919,-117.2013016,360.30,1.75,WIFI
C4:8E:8F:E4:98:76,WIFIE49872,[WPA2_PSK],2025-12-16 0:5:16,1,-85,34.0449524,-117.2007065,361.40,1.75,WIFI
80:69:1A:94:41:B4,Leason2.0,[WPA2_WPA3_PSK],2025-12-16 0:5:16,1,-87,34.0449524,-117.2007065,361.40,1.75,WIFI
86:69:1A:94:41:B4,,[WPA2_WPA3_PSK],2025-12-16 0:5:16,1,-87,34.0449524,-117.2007065,361.40,1.75,WIFI
86:69:1A:95:12:0F,,[WPA2_WPA3_PSK],2025-12-16 0:5:16,1,-92,34.0449524,-117.2007065,361.40,1.75,WIFI
80:69:1A:95:12:0F,Leason2.0,[WPA2_WPA3_PSK],2025-12-16 0:5:16,1,-94,34.0449524,-117.2007065,361.40,1.75,WIFI
86:69:1A:94:49:40,,[WPA2_WPA3_PSK],2025-12-16 0:5:16,1,-98,34.0449524,-117.2007065,361.40,1.75,WIFI
54:07:7D:29:B6:91,,[WPA2_PSK],2025-12-16 0:5:19,3,-90,34.0447044,-117.2005005,361.70,1.75,WIFI
