WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
C8:C6:FE:26:14:06,Lil Wills,[WPA2_PSK],2025-12-1 0:11:10,1,-67,34.0525551,-117.1805191,379.80,1.75,WIFI
C8:C6:FE:26:14:03,,[WPA3_PSK],2025-12-1 0:11:10,1,-68,34.0525551,-117.1805191,379.80,1.75,WIFI
AC:DF:9F:5C:1D:16,TheShadowRealm,[WPA2_WPA3_PSK],2025-12-1 0:11:13,4,-78,34.0525551,-117.1805191,379.80,1.75,WIFI
AE:DF:9F:7C:1D:16,,[WPA2_WPA3_PSK],2025-12-1 0:11:13,4,-79,34.0525551,-117.1805191,379.80,1.75,WIFI
4C:AB:F8:46:45:29,Pharmacy,[WPA2_PSK],2025-12-1 0:11:15,6,-69,34.0525513,-117.1805191,379.70,1.75,WIFI
E0:88:5D:67:55:EB,TC8715DE5,[WPA2_PSK],2025-12-1 0:11:15,6,-72,34.0525513,-117.1805191,379.70,1.75,WIFI
0E:AB:F8:46:45:29,,[WPA2_PSK],2025-12-1 0:11:15,6,-72,34.0525513,-117.1805191,379.70,1.75,WIFI
60:F4:19:59:BB:E3,,[WPA3_PSK],2025-12-1 0:11:15,6,-76,34.0525513,-117.1805191,379.70,1.75,WIFI
AC:8B:A9:9D:09:AB,Cajon Dental,[WPA2_PSK],2025-12-1 0:11:15,6,-78,34.0525513,-117.1805191,379.70,1.75,WIFI
B2:8B:A9:9D:09:AB,,[WPA2_PSK],2025-12-1 0:11:15,6,-78,34.0525513,-117.1805191,379.70,1.75,WIFI
18:1B:EB:46:49:49,76WJ8,[WPA2_PSK],2025-12-1 0:11:15,6,-80,34.0525513,-117.1805191,379.70,1.75,WIFI
FC:12:63:82:53:1D,SpectrumSetup-1F,[WPA2_PSK],2025-12-1 0:11:15,6,-91,34.0525513,-117.1805191,379.70,1.75,WIFI
6C:CD:D6:D4:B3:58,VIGILANS,[WPA2_PSK],2025-12-1 0:11:18,9,-82,34.0525513,-117.1805191,379.60,1.75,WIFI
80:CC:9C:3E:9B:71,VIGILANS,[WPA2_PSK],2025-12-1 0:11:18,9,-83,34.0525513,-117.1805191,379.60,1.75,WIFI
38:94:ED:58:1D:17,Primemill,[WPA2_PSK],2025-12-1 0:11:19,10,-62,34.0525513,-117.1805191,379.70,1.75,WIFI
3E:94:ED:58:1D:17,,[WPA2_PSK],2025-12-1 0:11:19,10,-63,34.0525513,-117.1805191,379.70,1.75,WIFI
3E:94:ED:69:57:9C,Primemill,[WPA2_PSK],2025-12-1 0:11:19,10,-66,34.0525513,-117.1805191,379.70,1.75,WIFI
3E:94:ED:69:56:D4,Primemill,[WPA2_PSK],2025-12-1 0:11:19,10,-67,34.0525513,-117.1805191,379.70,1.75,WIFI
38:94:ED:69:57:9C,,[WPA2_PSK],2025-12-1 0:11:19,10,-67,34.0525513,-117.1805191,379.70,1.75,WIFI
38:94:ED:69:56:D4,,[WPA2_PSK],2025-12-1 0:11:19,10,-68,34.0525513,-117.1805191,379.70,1.75,WIFI
4C:19:5D:92:F9:43,SpectrumSetup-3D,[WPA2_PSK],2025-12-1 0:11:20,11,-74,34.0525513,-117.1805191,379.70,1.75,WIFI
F4:52:46:A3:DB:5E,SpectrumSetup-DB61,[WPA2_PSK],2025-12-1 0:11:20,11,-78,34.0525513,-117.1805191,379.70,1.75,WIFI
3C:52:82:1F:FF:B7,DIRECT-B6-HP ENVY 7640 series,[WPA2_PSK],2025-12-1 0:11:20,11,-79,34.0525513,-117.1805191,379.70,1.75,WIFI
F0:9F:C2:A4:48:B1,2peasinapod,[WPA2_PSK],2025-12-1 0:11:20,11,-82,34.0525513,-117.1805191,379.70,1.75,WIFI
02:EC:DA:BA:45:FA,WANG GUEST,[WPA2_PSK],2025-12-1 0:11:20,11,-82,34.0525513,-117.1805191,379.70,1.75,WIFI
6C:AE:F6:3E:DC:E6,FBCR_Sanctuary,[WPA2_PSK],2025-12-1 0:11:23,1,-80,34.0525513,-117.1805191,379.70,1.75,WIFI
F8:E4:FB:D0:22:DB,,[OPEN],2025-12-1 0:11:23,1,-85,34.0525513,-117.1805191,379.70,1.75,WIFI
08:33:ED:FA:6B:C9,Greengal,[WPA2_PSK],2025-12-1 0:11:23,1,-86,34.0525513,-117.1805191,379.70,1.75,WIFI
20:BA:36:1F:08:E2,SMA3020993790,[WPA2_PSK],2025-12-1 0:11:23,1,-90,34.0525513,-117.1805191,379.70,1.75,WIFI
86:25:4A:65:8A:25,rockys castle ,[WPA2_PSK],2025-12-1 0:11:26,3,-88,34.0525513,-117.1805191,379.60,1.75,WIFI
AC:8B:A9:9D:28:94,Cajon Dental,[WPA2_PSK],2025-12-1 0:11:29,6,-77,34.0525513,-117.1805191,379.60,1.75,WIFI
4A:52:A1:90:5F:EE,Paulson Ortho_MLO,[WPA3_PSK],2025-12-1 0:11:33,10,-81,34.0525665,-117.1805344,379.70,1.75,WIFI
A0:64:8F:EA:53:71,MySpectrumWiFi73-2G,[WPA2_PSK],2025-12-1 0:11:34,11,-71,34.0525932,-117.1805573,379.60,1.75,WIFI
86:78:48:9A:5A:AC,FCC Guest,[WPA2_PSK],2025-12-1 0:11:36,1,-82,34.0526619,-117.1806412,379.10,1.75,WIFI
5C:DF:89:34:68:38,SBDTeachers,[WPA2_PSK],2025-12-1 0:11:36,1,-82,34.0526619,-117.1806412,379.10,1.75,WIFI
