WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1E:67:BE:09:97:E8,,[WPA2_PSK],,1,-92,34.0444336,-117.2011490,384.30,3.25,WIFI
1E:67:BE:09:97:E9,,[WPA2_PSK],,1,-94,34.0444336,-117.2011490,384.30,3.25,WIFI
A4:11:62:72:9A:12,ARLO_VMB_4422026869,[WPA2_PSK],,3,-86,34.0444336,-117.2011566,384.20,3.25,WIFI
98:ED:5C:83:A7:13,TeslaPV_83A713,[WPA2_PSK],,4,-88,34.0444298,-117.2011566,384.10,3.00,WIFI
D4:3F:32:6C:47:C6,durian,[WPA2_PSK],2025-12-18 18:52:32,6,-85,34.0444221,-117.2011642,383.60,3.00,WIFI
D4:3F:32:6C:47:C9,,[OPEN],2025-12-18 18:52:32,6,-85,34.0444221,-117.2011642,383.60,3.00,WIFI
90:CA:FA:9B:59:3C,The Force,[WPA2_PSK],2025-12-18 18:52:32,6,-91,34.0444221,-117.2011642,383.60,3.00,WIFI
90:CA:FA:9B:5D:1A,The Force,[WPA2_PSK],2025-12-18 18:52:32,6,-92,34.0444221,-117.2011642,383.60,3.00,WIFI
D4:05:DE:89:EE:64,,[WPA3_PSK],2025-12-18 18:52:37,11,-86,34.0443916,-117.2012329,382.90,3.00,WIFI
D4:05:DE:89:EE:6A,,[OPEN],2025-12-18 18:52:37,11,-87,34.0443916,-117.2012329,382.90,3.00,WIFI
D4:05:DE:89:EE:67,Blossom,[WPA2_PSK],2025-12-18 18:52:37,11,-88,34.0443916,-117.2012329,382.90,3.00,WIFI
2C:67:BE:09:97:EF,SpectrumSetup-97EB,[WPA2_PSK],2025-12-18 18:52:40,1,-83,34.0443726,-117.2012787,382.50,3.00,WIFI
58:68:7A:10:AF:17,Cookie,[WPA2_WPA3_PSK],2025-12-18 18:52:40,1,-92,34.0443726,-117.2012787,382.50,3.00,WIFI
54:04:63:FB:12:D8,,[WPA_WPA2_PSK],2025-12-18 18:52:40,1,-93,34.0443726,-117.2012787,382.50,3.00,WIFI
FC:34:97:05:D4:D0,Belle-2G,[WPA2_PSK],2025-12-18 18:52:50,10,-88,34.0445862,-117.2014618,377.10,3.00,WIFI
FC:34:97:05:D4:D1,BeOurGuest,[WPA2_WPA3_PSK],2025-12-18 18:52:50,10,-89,34.0445862,-117.2014618,377.10,3.00,WIFI
74:AC:B9:BD:D4:B8,BT_Magnolia,[WPA2_PSK],2025-12-18 18:53:0,6,-92,34.0450249,-117.2017288,373.50,3.00,WIFI
7A:AC:B9:BD:D4:B8,BT_Magnolia_guest,[WPA2_PSK],2025-12-18 18:53:0,6,-93,34.0450249,-117.2017288,373.50,3.00,WIFI
74:AC:B9:BD:CB:D1,BT_Magnolia,[WPA2_PSK],2025-12-18 18:53:0,6,-93,34.0450249,-117.2017288,373.50,3.00,WIFI
7E:AC:B9:BD:CB:D1,iPhoneSetup,[WPA2_PSK],2025-12-18 18:53:0,6,-93,34.0450249,-117.2017288,373.50,3.00,WIFI
7E:AC:B9:BD:D4:B8,iPhoneSetup,[WPA2_PSK],2025-12-18 18:53:0,6,-94,34.0450249,-117.2017288,373.50,3.00,WIFI
