WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
98:ED:5C:83:A7:13,TeslaPV_83A713,[WPA2_PSK],2025-12-17 14:54:48,4,-82,34.0443916,-117.2011642,370.10,1.75,WIFI
D4:3F:32:6C:47:C3,,[WPA3_PSK],2025-12-17 14:54:50,6,-85,34.0443878,-117.2011642,370.10,1.75,WIFI
D4:3F:32:6C:47:C9,,[OPEN],2025-12-17 14:54:50,6,-85,34.0443878,-117.2011642,370.10,1.75,WIFI
D4:3F:32:6C:47:C6,durian,[WPA2_PSK],2025-12-17 14:54:50,6,-86,34.0443878,-117.2011642,370.10,1.75,WIFI
90:CA:FA:9B:5D:1A,The Force,[WPA2_PSK],2025-12-17 14:54:50,6,-88,34.0443878,-117.2011642,370.10,1.75,WIFI
90:CA:FA:9B:59:3C,The Force,[WPA2_PSK],2025-12-17 14:54:50,6,-91,34.0443878,-117.2011642,370.10,1.75,WIFI
90:CA:FA:9B:5C:CF,The Force,[WPA2_PSK],2025-12-17 14:54:55,11,-91,34.0443878,-117.2011642,370.00,1.75,WIFI
F8:5B:3B:CE:64:39,MandC,[WPA2_PSK],2025-12-17 14:54:55,11,-97,34.0443878,-117.2011642,370.00,1.75,WIFI
58:68:7A:10:AF:17,Cookie,[WPA2_WPA3_PSK],2025-12-17 14:54:57,1,-96,34.0443916,-117.2011642,370.00,1.75,WIFI
A4:11:62:72:9A:12,ARLO_VMB_4422026869,[WPA2_PSK],2025-12-17 14:55:1,3,-90,34.0443916,-117.2011642,370.00,1.75,WIFI
F4:52:46:1D:8C:B9,Gaston,[WPA2_PSK],2025-12-17 14:55:11,1,-94,34.0443687,-117.2012329,370.10,1.75,WIFI
CC:40:D0:A2:8E:62,NETGEAR91,[WPA2_PSK],2025-12-17 14:55:25,1,-84,34.0446014,-117.2015076,368.90,1.75,WIFI
74:AC:B9:BD:CB:D1,BT_Magnolia,[WPA2_PSK],2025-12-17 14:55:32,6,-92,34.0449295,-117.2017517,367.30,1.75,WIFI
82:AC:B9:BD:CB:D1,,[WPA2_PSK],2025-12-17 14:55:32,6,-92,34.0449295,-117.2017517,367.30,1.75,WIFI
7A:AC:B9:BD:CB:D1,BT_Magnolia_guest,[WPA2_PSK],2025-12-17 14:55:32,6,-93,34.0449295,-117.2017517,367.30,1.75,WIFI
7E:AC:B9:BD:CB:D1,iPhoneSetup,[WPA2_PSK],2025-12-17 14:55:32,6,-95,34.0449295,-117.2017517,367.30,1.75,WIFI
C4:8E:8F:E4:98:76,WIFIE49872,[WPA2_PSK],2025-12-17 14:55:39,1,-90,34.0451927,-117.2014694,366.40,1.75,WIFI
7E:4D:8F:57:BE:F5,DIRECT-F5-HP OfficeJet Pro 8020,[WPA2_PSK],2025-12-17 14:55:39,1,-92,34.0451927,-117.2014694,366.40,1.75,WIFI
F0:7B:65:3C:22:AA,SpectrumSetup-22A4,[WPA2_PSK],2025-12-17 14:55:51,11,-93,34.0455475,-117.2011337,364.70,1.75,WIFI
74:37:5F:55:FA:13,ierr2006,[WPA2_PSK],2025-12-17 14:56:0,6,-88,34.0462990,-117.2017136,360.50,1.75,WIFI
24:41:FE:48:01:22,Verizon_6KNG9L,[WPA2_PSK],2025-12-17 14:56:0,6,-91,34.0462990,-117.2017136,360.50,1.75,WIFI
2C:67:BE:58:30:D5,DeadMoon,[WPA2_PSK],2025-12-17 14:56:19,11,-84,34.0471649,-117.2005539,358.50,1.75,WIFI
90:D3:CF:DD:CB:3F,SpectrumSetup-CB42,[WPA2_PSK],2025-12-17 14:56:19,11,-91,34.0471649,-117.2005539,358.50,1.75,WIFI
A0:55:1F:19:A6:8C,SpectrumSetup-A686,[WPA2_PSK],2025-12-17 14:56:21,1,-74,34.0473022,-117.2002563,358.20,1.75,WIFI
4C:19:5D:84:25:3B,SpectrumSetup-35,[WPA2_PSK],2025-12-17 14:56:21,1,-89,34.0473022,-117.2002563,358.20,1.75,WIFI
00:C8:96:CD:64:C2,,[WPA_WPA2_PSK],2025-12-17 14:56:21,1,-95,34.0473022,-117.2002563,358.20,1.75,WIFI
0C:82:47:4D:29:C8,,[WPA_WPA2_PSK],2025-12-17 14:56:27,5,-93,34.0477600,-117.1994019,359.10,1.75,WIFI
92:93:5A:0D:CD:2A,SBG8300Guest-F9E1,[WPA2_PSK],2025-12-17 14:56:28,6,-91,34.0478363,-117.1992569,359.20,1.75,WIFI
90:93:5A:0D:CD:5A,Monster Club,[WPA2_PSK],2025-12-17 14:56:28,6,-92,34.0478363,-117.1992569,359.20,1.75,WIFI
C0:C9:E3:CB:71:4C,M3_OfficeLink,[WPA2_WPA3_PSK],2025-12-17 14:56:30,8,-95,34.0479927,-117.1989746,359.40,1.75,WIFI
90:CD:B6:A1:22:2D,WIFIA12229,[WPA2_PSK],2025-12-17 14:56:33,11,-93,34.0482178,-117.1985703,360.10,1.75,WIFI
34:DB:9C:6C:3F:FE,MySpectrumWiFif8-2G,[WPA2_PSK],2025-12-17 14:56:33,11,-94,34.0482178,-117.1985703,360.10,1.75,WIFI
84:1E:A3:29:25:06,SpectrumSetup-00,[WPA2_PSK],2025-12-17 14:56:36,1,-89,34.0484390,-117.1981583,360.30,1.75,WIFI
F0:7B:65:BC:FB:11,Jacksonfam,[WPA2_PSK],2025-12-17 14:56:36,1,-89,34.0484390,-117.1981583,360.30,1.75,WIFI
