WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
90:CA:FA:9B:5C:CF,The Force,[WPA2_PSK],2025-3-25 21:40:42,1,-72,34.0443878,-117.2011566,360.90,2.00,WIFI
1E:67:BE:09:97:E8,,[WPA2_PSK],2025-3-25 21:40:42,1,-81,34.0443878,-117.2011566,360.90,2.00,WIFI
2C:67:BE:09:97:EF,SpectrumSetup-97EB,[WPA2_PSK],2025-3-25 21:40:42,1,-81,34.0443878,-117.2011566,360.90,2.00,WIFI
1E:67:BE:09:97:E9,,[WPA2_PSK],2025-3-25 21:40:42,1,-82,34.0443878,-117.2011566,360.90,2.00,WIFI
9A:0C:7A:D4:3E:98,SpectrumSetup-97EB,[WPA2_PSK],2025-3-25 21:40:42,1,-83,34.0443878,-117.2011566,360.90,2.00,WIFI
8A:0C:7A:D4:3E:98,,[WPA2_PSK],2025-3-25 21:40:42,1,-84,34.0443878,-117.2011566,360.90,2.00,WIFI
AA:0C:7A:D4:3E:98,,[WPA2_PSK],2025-3-25 21:40:42,1,-85,34.0443878,-117.2011566,360.90,2.00,WIFI
34:53:D2:52:09:CE,SpectrumSetup-C8,[WPA2_PSK],2025-3-25 21:40:42,1,-85,34.0443878,-117.2011566,360.90,2.00,WIFI
58:68:7A:10:AF:16,Cookie,[WPA2_WPA3_PSK],2025-3-25 21:40:42,1,-88,34.0443878,-117.2011566,360.90,2.00,WIFI
FC:34:97:05:D4:D0,Belle-2G,[WPA2_PSK],2025-3-25 21:40:43,2,-80,34.0443840,-117.2011566,360.40,2.00,WIFI
FC:34:97:05:D4:D1,BeOurGuest,[WPA2_WPA3_PSK],2025-3-25 21:40:43,2,-81,34.0443840,-117.2011566,360.40,2.00,WIFI
00:22:6C:A7:D1:04,,[OPEN],2025-3-25 21:40:43,2,-91,34.0443840,-117.2011566,360.40,2.00,WIFI
90:CA:FA:9B:5D:1A,The Force,[WPA2_PSK],2025-3-25 21:40:47,6,-66,34.0443840,-117.2011566,360.90,2.00,WIFI
56:13:79:C7:1D:8E,DIRECT-8e-HP M281 LaserJet,[WPA2_PSK],2025-3-25 21:40:47,6,-69,34.0443840,-117.2011566,360.90,2.00,WIFI
90:CA:FA:9B:59:3C,The Force,[WPA2_PSK],2025-3-25 21:40:47,6,-70,34.0443840,-117.2011566,360.90,2.00,WIFI
A4:11:62:72:9A:12,ARLO_VMB_4422026869,[WPA2_PSK],2025-3-25 21:40:47,6,-77,34.0443840,-117.2011566,360.90,2.00,WIFI
D4:3F:32:6C:47:C3,,[WPA3_PSK],2025-3-25 21:40:47,6,-77,34.0443840,-117.2011566,360.90,2.00,WIFI
D4:3F:32:6C:47:C9,,[OPEN],2025-3-25 21:40:47,6,-77,34.0443840,-117.2011566,360.90,2.00,WIFI
D4:3F:32:6C:47:C6,durian,[WPA2_PSK],2025-3-25 21:40:47,6,-83,34.0443840,-117.2011566,360.90,2.00,WIFI
22:48:6C:B1:A8:3B,,[WPA2_PSK],2025-3-25 21:40:47,6,-86,34.0443840,-117.2011566,360.90,2.00,WIFI
2E:80:88:D7:76:8B,Cohen,[WPA2_PSK],2025-3-25 21:40:50,9,-88,34.0443840,-117.2011871,361.20,2.00,WIFI
00:13:37:AA:3A:34,Redlands Free WiFi,[OPEN],2025-3-25 21:40:52,11,-66,34.0443764,-117.2012024,361.40,2.00,WIFI
02:13:37:AA:3A:34,manage,[WPA2_PSK],2025-3-25 21:40:52,11,-69,34.0443764,-117.2012024,361.40,2.00,WIFI
D4:05:DE:89:EE:64,,[WPA3_PSK],2025-3-25 21:40:52,11,-75,34.0443764,-117.2012024,361.40,2.00,WIFI
D4:05:DE:89:EE:6A,,[OPEN],2025-3-25 21:40:52,11,-75,34.0443764,-117.2012024,361.40,2.00,WIFI
D4:05:DE:89:EE:67,Honn,[WPA2_PSK],2025-3-25 21:40:52,11,-75,34.0443764,-117.2012024,361.40,2.00,WIFI
F8:5B:3B:CE:64:39,MandC,[WPA2_PSK],2025-3-25 21:40:52,11,-76,34.0443764,-117.2012024,361.40,2.00,WIFI
9C:0B:05:C3:67:C4,,[WPA3_PSK],2025-3-25 21:40:52,11,-85,34.0443764,-117.2012024,361.40,2.00,WIFI
9C:0B:05:C3:67:CA,,[OPEN],2025-3-25 21:40:52,11,-85,34.0443764,-117.2012024,361.40,2.00,WIFI
00:C8:96:B2:DC:40,,[WPA_WPA2_PSK],2025-3-25 21:40:52,11,-87,34.0443764,-117.2012024,361.40,2.00,WIFI
00:17:1A:D5:37:06,Winegard2ghzD53705,[WPA2_PSK],2025-3-25 21:40:52,11,-90,34.0443764,-117.2012024,361.40,2.00,WIFI
22:3E:A4:9C:D0:7F,,[WPA2_PSK],2025-3-25 21:40:52,11,-91,34.0443764,-117.2012024,361.40,2.00,WIFI
9A:0C:7A:D4:2C:F8,SpectrumSetup-97EB,[WPA2_PSK],2025-3-25 21:40:53,1,-79,34.0443764,-117.2012177,361.30,2.00,WIFI
CC:40:D0:A2:8E:62,NETGEAR91,[WPA2_PSK],2025-3-25 21:40:53,1,-80,34.0443764,-117.2012177,361.30,2.00,WIFI
04:B6:BE:46:60:CE,,[WPA_WPA2_PSK],2025-3-25 21:40:57,2,-83,34.0443611,-117.2012634,361.40,2.00,WIFI
98:ED:5C:83:A7:13,TeslaPV_83A713,[WPA2_PSK],2025-3-25 21:40:58,3,-69,34.0443535,-117.2012711,361.30,2.00,WIFI
54:04:63:FB:12:D8,,[WPA_WPA2_PSK],2025-3-25 21:40:58,3,-76,34.0443535,-117.2012711,361.30,2.00,WIFI
60:32:B1:31:E3:3E,DECO,[WPA2_PSK],2025-3-25 21:40:58,3,-88,34.0443535,-117.2012711,361.30,2.00,WIFI
80:78:71:80:F3:1F,SpectrumSetup-21,[WPA2_PSK],2025-3-25 21:41:1,6,-73,34.0443459,-117.2012787,361.50,2.00,WIFI
60:F4:19:01:28:A6,WZWMK,[WPA2_PSK],2025-3-25 21:41:1,6,-84,34.0443459,-117.2012787,361.50,2.00,WIFI
A0:64:8F:EA:3E:51,MySpectrumWiFi53-2G,[WPA2_PSK],2025-3-25 21:41:1,6,-89,34.0443459,-117.2012787,361.50,2.00,WIFI
86:69:1A:94:41:B4,,[WPA2_WPA3_PSK],2025-3-25 21:41:4,9,-87,34.0443459,-117.2012787,361.70,2.00,WIFI
BE:75:36:61:BB:0A,myChevrolet,[WPA2_PSK],2025-3-25 21:41:6,11,-79,34.0443687,-117.2012787,361.80,2.00,WIFI
F4:52:46:1D:8C:B9,SpectrumSetup-BB,[WPA2_PSK],2025-3-25 21:41:6,11,-81,34.0443687,-117.2012787,361.80,2.00,WIFI
9C:0B:05:C3:67:C7,GeorgeYaz,[WPA2_PSK],2025-3-25 21:41:6,11,-81,34.0443687,-117.2012787,361.80,2.00,WIFI
02:17:1A:D5:37:06,,[WPA2_PSK],2025-3-25 21:41:6,11,-83,34.0443687,-117.2012787,361.80,2.00,WIFI
22:3E:A4:04:CF:C2,,[WPA2_PSK],2025-3-25 21:41:6,11,-84,34.0443687,-117.2012787,361.80,2.00,WIFI
84:A0:6E:C9:E2:16,joola-2G,[WPA2_PSK],2025-3-25 21:41:6,11,-89,34.0443687,-117.2012787,361.80,2.00,WIFI
7A:AC:B9:BD:D4:B8,BT_Magnolia_guest,[WPA2_PSK],2025-3-25 21:41:8,1,-82,34.0444298,-117.2013092,361.60,2.00,WIFI
A0:04:60:CE:27:AC,NETGEAR49,[WPA2_PSK],2025-3-25 21:41:8,1,-85,34.0444298,-117.2013092,361.60,2.00,WIFI
DA:31:34:D0:B7:61,,[WPA2_PSK],2025-3-25 21:41:8,1,-86,34.0444298,-117.2013092,361.60,2.00,WIFI
00:22:6C:A7:D7:04,,[OPEN],2025-3-25 21:41:11,2,-85,34.0445518,-117.2014313,361.00,2.00,WIFI
44:EA:D8:1E:24:B8,ChimePro-1E24B7,[OPEN],2025-3-25 21:41:15,6,-81,34.0448074,-117.2016449,360.10,2.00,WIFI
7A:AC:B9:BD:CB:D1,BT_Magnolia_guest,[WPA2_PSK],2025-3-25 21:41:15,6,-86,34.0448074,-117.2016449,360.10,2.00,WIFI
58:2F:F7:68:A1:56,SpectrumSetup-50,[WPA2_PSK],2025-3-25 21:41:20,11,-81,34.0450058,-117.2017365,360.50,2.00,WIFI
30:8D:99:FB:51:2F,HP-Print-2F-ENVY 4500 series,[OPEN],2025-3-25 21:41:20,11,-89,34.0450058,-117.2017365,360.50,2.00,WIFI
F8:F5:32:4C:34:08,Frontier0816,[WPA2_PSK],2025-3-25 21:41:20,11,-90,34.0450058,-117.2017365,360.50,2.00,WIFI
66:CB:E9:7C:99:EC,[LG_Oven]99ec,[WPA2_PSK],2025-3-25 21:41:20,11,-91,34.0450058,-117.2017365,360.50,2.00,WIFI
74:AC:B9:BD:D4:B8,BT_Magnolia,[WPA2_PSK],2025-3-25 21:41:22,1,-79,34.0450859,-117.2016830,360.30,2.00,WIFI
86:69:1A:95:12:0F,,[WPA2_WPA3_PSK],2025-3-25 21:41:28,5,-91,34.0453224,-117.2012329,359.10,2.00,WIFI
9C:A5:70:9B:A0:03,,[WPA3_PSK],2025-3-25 21:41:29,6,-76,34.0453529,-117.2011795,359.20,2.00,WIFI
9C:A5:70:9B:A0:05,Normanrose,[WPA2_PSK],2025-3-25 21:41:29,6,-76,34.0453529,-117.2011795,359.20,2.00,WIFI
9C:A5:70:9B:A0:07,,[OPEN],2025-3-25 21:41:29,6,-78,34.0453529,-117.2011795,359.20,2.00,WIFI
F8:E4:FB:03:39:7E,2BPB2,[WPA2_PSK],2025-3-25 21:41:29,6,-81,34.0453529,-117.2011795,359.20,2.00,WIFI
F0:9F:C2:CC:90:F6,ManagementVds,[WPA2_WPA3_PSK],2025-3-25 21:41:29,6,-82,34.0453529,-117.2011795,359.20,2.00,WIFI
F0:81:75:C0:58:AE,SpectrumSetup-A8,[WPA2_PSK],2025-3-25 21:41:29,6,-88,34.0453529,-117.2011795,359.20,2.00,WIFI
B0:FC:88:27:72:47,MAVDPT26,[WPA2_PSK],2025-3-25 21:41:29,6,-89,34.0453529,-117.2011795,359.20,2.00,WIFI
34:60:F9:5F:7E:1B,HandB,[WPA2_PSK],2025-3-25 21:41:32,9,-73,34.0453835,-117.2011032,359.10,2.00,WIFI
56:60:F9:5F:7E:1B,,[WPA2_PSK],2025-3-25 21:41:32,9,-76,34.0453835,-117.2011032,359.10,2.00,WIFI
80:69:1A:94:41:B4,Leason2.0,[WPA2_WPA3_PSK],2025-3-25 21:41:32,9,-82,34.0453835,-117.2011032,359.10,2.00,WIFI
D8:EB:97:EE:2E:32,Keidel2.4-private,[WPA2_PSK],2025-3-25 21:41:33,10,-84,34.0453949,-117.2010956,359.10,2.00,WIFI
DA:EB:97:EE:2E:35,Keidel-guest2.4,[WPA2_PSK],2025-3-25 21:41:33,10,-85,34.0453949,-117.2010956,359.10,2.00,WIFI
9C:C8:FC:01:AE:48,Roberts,[WPA2_PSK],2025-3-25 21:41:34,11,-80,34.0454254,-117.2010803,358.80,2.00,WIFI
CC:58:30:64:D4:D6,TMOBILE-D4D1,[WPA2_WPA3_PSK],2025-3-25 21:41:34,11,-82,34.0454254,-117.2010803,358.80,2.00,WIFI
B0:FC:88:57:1E:A1,apt13canyouquietdown,[WPA2_PSK],2025-3-25 21:41:34,11,-88,34.0454254,-117.2010803,358.80,2.00,WIFI
DC:92:72:E3:69:AF,Frontier0168,[WPA2_PSK],2025-3-25 21:41:37,1,-80,34.0455933,-117.2011261,358.20,2.00,WIFI
94:18:65:D2:FC:4F,Adulting101,[WPA2_PSK],2025-3-25 21:41:40,3,-89,34.0458221,-117.2013168,357.40,2.00,WIFI
E4:F4:C6:15:AD:8C,wtwood,[WPA_WPA2_PSK],2025-3-25 21:41:41,4,-82,34.0459213,-117.2013931,357.10,2.00,WIFI
F0:7B:65:3C:22:AA,SpectrumSetup-22A4,[WPA2_PSK],2025-3-25 21:41:43,6,-62,34.0461159,-117.2015457,355.90,2.00,WIFI
74:37:5F:55:FA:13,ierr2006,[WPA2_PSK],2025-3-25 21:41:43,6,-77,34.0461159,-117.2015457,355.90,2.00,WIFI
08:B4:B1:E8:C4:5C,Drug Addicts Only,[WPA2_PSK],2025-3-25 21:41:43,6,-81,34.0461159,-117.2015457,355.90,2.00,WIFI
C8:E3:06:2B:EA:27,,[OPEN],2025-3-25 21:41:43,6,-82,34.0461159,-117.2015457,355.90,2.00,WIFI
34:53:D2:B6:95:0E,SpectrumSetup-08,[WPA2_PSK],2025-3-25 21:41:43,6,-83,34.0461159,-117.2015457,355.90,2.00,WIFI
C8:E3:06:2B:EA:23,,[WPA3_PSK],2025-3-25 21:41:43,6,-83,34.0461159,-117.2015457,355.90,2.00,WIFI
C8:E3:06:2B:EA:25,Wild horse,[WPA2_PSK],2025-3-25 21:41:43,6,-83,34.0461159,-117.2015457,355.90,2.00,WIFI
