WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
3C:8C:F8:F9:0A:BB,TRENDnet740_RFJA,[WPA2],2025-12-17 17:33:17,1,-92,34.0626297,-117.1964951,362.30,2.75,WIFI
24:C9:A1:31:5B:C8,Ayres Hotels,[OPEN],2025-12-17 17:33:30,1,-87,34.0626335,-117.1964951,362.10,2.75,WIFI
24:C9:A1:2A:AA:68,Ayres Hotels,[OPEN],2025-12-17 17:33:54,10,-94,34.0627708,-117.1960373,361.30,2.75,WIFI
32:B4:B8:E9:DD:81,My VW 2921,[WPA2_PSK],2025-12-17 17:34:4,6,-94,34.0620575,-117.1957703,359.70,2.75,WIFI
66:6C:80:61:28:01,DIRECT-01-HP M283 LaserJet,[WPA2_PSK],2025-12-17 17:34:4,6,-95,34.0620575,-117.1957703,359.70,2.75,WIFI
AC:B6:87:4C:6E:F3,ED NET,[WPA2_PSK],2025-12-17 17:34:9,11,-73,34.0614243,-117.1957703,358.20,2.75,WIFI
08:05:81:DC:58:F1,,[WPA2_PSK],2025-12-17 17:34:9,11,-87,34.0614243,-117.1957703,358.20,2.75,WIFI
E0:E1:A9:0B:FF:A4,RV2458-2.4G,[WPA2_PSK],2025-12-17 17:34:9,11,-94,34.0614243,-117.1957703,358.20,2.75,WIFI
C4:EB:42:81:3B:67,TMOBILE-3B61,[WPA2_WPA3_PSK],2025-12-17 17:34:12,1,-79,34.0610466,-117.1957779,356.70,2.75,WIFI
CA:5A:CF:5D:FF:8D,DIRECT-8D-HP M404dw LJ,[WPA2_PSK],2025-12-17 17:34:46,6,-91,34.0596085,-117.1918411,366.50,2.75,WIFI
24:F3:E3:C9:F1:C3,,[WPA3_PSK],2025-12-17 17:34:54,1,-86,34.0595894,-117.1915359,367.00,2.75,WIFI
24:F3:E3:C9:F1:C9,,[OPEN],2025-12-17 17:34:54,1,-86,34.0595894,-117.1915359,367.00,2.75,WIFI
24:F3:E3:C9:F1:C6,TexasHouse,[WPA2_PSK],2025-12-17 17:34:54,1,-86,34.0595894,-117.1915359,367.00,2.75,WIFI
A0:89:66:9D:B6:D0,,[WPA_WPA2_PSK],2025-12-17 17:34:54,1,-93,34.0595894,-117.1915359,367.00,2.75,WIFI
88:DE:7C:ED:7F:88,SpectrumSetup-8A,[WPA2_PSK],2025-12-17 17:35:0,6,-84,34.0592537,-117.1914215,365.80,2.75,WIFI
D8:07:B6:73:0A:EA,Ewater,[WPA2_PSK],2025-12-17 17:35:0,6,-85,34.0592537,-117.1914215,365.80,2.75,WIFI
E8:ED:D6:84:22:73,VWS,[WPA2],2025-12-17 17:35:19,11,-92,34.0580101,-117.1914139,367.50,2.75,WIFI
B0:D8:88:C4:79:01,TOYOTA Camry_790188c4b0d8,[WPA2_PSK],2025-12-17 17:35:19,11,-94,34.0580101,-117.1914139,367.50,2.75,WIFI
E8:ED:D6:84:22:74,V-Guest,[OPEN],2025-12-17 17:35:19,11,-94,34.0580101,-117.1914139,367.50,2.75,WIFI
E8:ED:D6:84:22:72,VWP,[WPA2_PSK],2025-12-17 17:35:19,11,-96,34.0580101,-117.1914139,367.50,2.75,WIFI
E8:ED:D6:84:22:71,VGG,[WPA2_PSK],2025-12-17 17:35:19,11,-97,34.0580101,-117.1914139,367.50,2.75,WIFI
72:7F:F0:1F:3A:64,,[WPA2_PSK],2025-12-17 17:35:39,3,-70,34.0568161,-117.1914978,367.80,2.25,WIFI
72:7F:F0:1F:3A:63,brylor,[WPA2_WPA3_PSK],2025-12-17 17:35:39,3,-73,34.0568161,-117.1914978,367.80,2.25,WIFI
34:98:B5:58:D2:B8,Toriuta,[WPA2_PSK],2025-12-17 17:35:43,7,-91,34.0564117,-117.1918106,366.80,2.25,WIFI
36:23:03:CB:2A:19,,[WPA2_PSK],2025-12-17 17:35:44,8,-85,34.0563126,-117.1919174,366.60,2.25,WIFI
