WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
98:C8:54:A5:C4:52,Verizon_VNS9PR,[WPA2_PSK],,1,-76,34.1081009,-117.2088470,330.80,2.50,WIFI
00:EB:D5:60:B2:F0,KCBLASER,[WPA2_PSK],,1,-77,34.1081009,-117.2088470,330.80,2.50,WIFI
74:8A:0D:76:14:F0,sunscreen 2.4,[WPA2_PSK],,1,-80,34.1081009,-117.2088470,330.80,2.50,WIFI
C0:56:27:D2:2F:4F,Montana Enterprises,[WPA2_PSK],,3,-80,34.1080170,-117.2088547,330.30,2.50,WIFI
C2:56:27:D2:2F:41,,[WPA2_PSK],,3,-81,34.1080170,-117.2088547,330.30,2.50,WIFI
58:07:F8:33:20:04,Snackattack Highland,[WPA2_PSK],2025-3-25 19:53:47,6,-71,34.1077919,-117.2088699,329.60,2.50,WIFI
FC:DB:21:58:C4:0D,samsara,[WPA2_PSK],2025-3-25 19:53:47,6,-72,34.1077919,-117.2088699,329.60,2.50,WIFI
6C:CD:D6:1D:46:23,Zoetis-6ccdd61d4621,[WPA2_PSK],2025-3-25 19:53:47,6,-79,34.1077919,-117.2088699,329.60,2.50,WIFI
18:A5:FF:B5:EC:E0,TMOBILE-ECDE,[WPA2_WPA3_PSK],2025-3-25 19:53:47,6,-81,34.1077919,-117.2088699,329.60,2.50,WIFI
FC:DB:21:3F:A1:B3,Matich Truck WiFi,[WPA2_PSK],2025-3-25 19:53:47,6,-82,34.1077919,-117.2088699,329.60,2.50,WIFI
FC:DB:21:1C:1C:ED,Matich Truck WiFi,[WPA2_PSK],2025-3-25 19:53:47,6,-83,34.1077919,-117.2088699,329.60,2.50,WIFI
00:25:CA:99:E6:E7,Motive AABL36MD380437,[WPA2_PSK],2025-3-25 19:53:47,6,-85,34.1077919,-117.2088699,329.60,2.50,WIFI
00:25:CA:4C:C3:55,KeepTruckin Hotspot - 01413031,[WPA2_PSK],2025-3-25 19:53:47,6,-86,34.1077919,-117.2088699,329.60,2.50,WIFI
22:2F:43:47:0E:DB,Galaxy A15 C0C2,[WPA2_PSK],2025-3-25 19:53:47,6,-87,34.1077919,-117.2088699,329.60,2.50,WIFI
E2:63:DA:34:F0:41,,[WPA2_PSK],2025-3-25 19:53:47,6,-88,34.1077919,-117.2088699,329.60,2.50,WIFI
84:D1:5A:B6:7F:0B,Internet Telcel HH41NH_7F0B,[WPA2_PSK],2025-3-25 19:53:48,7,-76,34.1076965,-117.2088776,329.60,2.50,WIFI
CC:65:AD:55:78:60,ATT944,[WPA_WPA2_PSK],2025-3-25 19:53:48,7,-87,34.1076965,-117.2088776,329.60,2.50,WIFI
48:A9:8A:3E:47:D4,NextDVP-W00233118591,[WPA_WPA2_PSK],2025-3-25 19:53:49,8,-84,34.1075783,-117.2088776,329.40,2.50,WIFI
8C:5A:25:9B:82:60,ATTQyjJbA2,[WPA2_PSK],2025-3-25 19:53:51,10,-72,34.1073341,-117.2088852,329.50,2.50,WIFI
BC:E6:7C:5E:C0:60,CHES,[WPA2],2025-3-25 19:53:52,11,-73,34.1072044,-117.2088776,329.60,2.50,WIFI
BC:E6:7C:5E:A1:50,CHES,[WPA2],2025-3-25 19:53:52,11,-80,34.1072044,-117.2088776,329.60,2.50,WIFI
98:C8:54:AB:06:C1,Verizon_C3BNX4,[WPA2_PSK],2025-3-25 19:53:52,11,-87,34.1072044,-117.2088776,329.60,2.50,WIFI
F4:E2:C6:24:9B:E7,FBACCESS,[WPA2_PSK],2025-3-25 19:53:52,11,-93,34.1072044,-117.2088776,329.60,2.50,WIFI
58:96:71:F3:91:16,Verizon_63JGZ9,[WPA2_PSK],2025-3-25 19:53:55,1,-72,34.1068001,-117.2088776,329.40,2.50,WIFI
E8:51:9E:71:44:28,ROVE_R2-4K_714428,[WPA_WPA2_PSK],2025-3-25 19:53:55,1,-77,34.1068001,-117.2088776,329.40,2.50,WIFI
