WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
3C:28:6D:C3:3C:B8,Penguins,[WPA2_PSK],2025-3-23 4:59:13,1,-82,34.0394325,-117.1534805,471.60,2.75,WIFI
8C:83:94:A1:DB:E9,Room of requirement,[WPA2_PSK],2025-3-23 4:59:13,1,-96,34.0394325,-117.1534805,471.60,2.75,WIFI
EA:65:38:64:DA:4C,DIRECT-4c-HP M234 LaserJet,[WPA2_PSK],2025-3-23 4:59:18,6,-77,34.0397186,-117.1545181,468.90,2.75,WIFI
74:93:DA:A3:9C:65,SpectrumSetup-67,[WPA2_PSK],2025-3-23 4:59:18,6,-78,34.0397186,-117.1545181,468.90,2.75,WIFI
68:7F:F0:02:3F:5D,TP-Link_3F5E,[WPA2_PSK],2025-3-23 4:59:22,9,-84,34.0400314,-117.1552124,469.00,2.75,WIFI
72:7F:F0:02:3F:5F,,[WPA2_PSK],2025-3-23 4:59:22,9,-84,34.0400314,-117.1552124,469.00,2.75,WIFI
3C:5C:F1:F7:56:F4,SalinasCounseling,[WPA2_PSK],2025-3-23 4:59:24,11,-72,34.0402069,-117.1555328,468.90,2.75,WIFI
3C:5C:F1:F7:56:FA,SalinasCounselingGuest,[WPA2_PSK],2025-3-23 4:59:24,11,-73,34.0402069,-117.1555328,468.90,2.75,WIFI
A2:63:91:B9:FA:60,Frontier0624_EXT,[WPA2_PSK],2025-3-23 4:59:24,11,-74,34.0402069,-117.1555328,468.90,2.75,WIFI
3C:5C:F1:F7:56:F6,,[OPEN],2025-3-23 4:59:24,11,-74,34.0402069,-117.1555328,468.90,2.75,WIFI
3C:5C:F1:F7:56:F2,,[WPA3_PSK],2025-3-23 4:59:24,11,-75,34.0402069,-117.1555328,468.90,2.75,WIFI
12:18:0A:6F:84:D9,WD-Phreesia,[WPA2_PSK],2025-3-23 4:59:24,11,-77,34.0402069,-117.1555328,468.90,2.75,WIFI
0E:18:0A:6F:84:D9,WD-Internet,[WPA2_PSK],2025-3-23 4:59:24,11,-78,34.0402069,-117.1555328,468.90,2.75,WIFI
58:96:71:13:04:B6,Verizon_RQ9HCG,[WPA2_PSK],2025-3-23 4:59:24,11,-91,34.0402069,-117.1555328,468.90,2.75,WIFI
00:16:78:25:BE:14,Repeater-BE14,[WPA_WPA2_PSK],2025-3-23 4:59:24,11,-92,34.0402069,-117.1555328,468.90,2.75,WIFI
22:AD:56:25:73:1D,B'merica,[WPA_WPA2_PSK],2025-3-23 4:59:24,11,-93,34.0402069,-117.1555328,468.90,2.75,WIFI
22:C7:C7:87:33:90,,[WPA2_PSK],2025-3-23 4:59:24,11,-94,34.0402069,-117.1555328,468.90,2.75,WIFI
5C:62:8B:0E:01:3E,Guest-76_EXT,[WPA2_WPA3_PSK],2025-3-23 4:59:27,1,-87,34.0404778,-117.1559982,468.30,2.75,WIFI
18:EE:86:4F:B8:FB,Guest-76,[WPA2_WPA3_PSK],2025-3-23 4:59:27,1,-88,34.0404778,-117.1559982,468.30,2.75,WIFI
EE:CB:BC:48:33:0A,WD-Internet,[WPA2_PSK],2025-3-23 4:59:27,1,-90,34.0404778,-117.1559982,468.30,2.75,WIFI
98:ED:5C:E9:CA:C0,TeslaWallConnector_E9CAC0,[WPA2_PSK],2025-3-23 4:59:27,1,-92,34.0404778,-117.1559982,468.30,2.75,WIFI
88:41:FC:9D:1F:4D,GalHouse,[WPA2_PSK],2025-3-23 4:59:29,2,-91,34.0406647,-117.1563110,468.00,2.75,WIFI
28:EC:22:76:2D:A3,,[WPA3_PSK],2025-3-23 4:59:33,6,-83,34.0410538,-117.1569519,466.70,2.50,WIFI
92:18:88:C6:DF:B7,,[WPA2_PSK],2025-3-23 4:59:33,6,-83,34.0410538,-117.1569519,466.70,2.50,WIFI
96:18:88:C6:DF:B7,,[OPEN],2025-3-23 4:59:33,6,-83,34.0410538,-117.1569519,466.70,2.50,WIFI
8A:18:88:C6:DF:B7,,[WPA2_PSK],2025-3-23 4:59:33,6,-83,34.0410538,-117.1569519,466.70,2.50,WIFI
28:EC:22:76:2D:A6,Rashmi,[WPA2_PSK],2025-3-23 4:59:33,6,-84,34.0410538,-117.1569519,466.70,2.50,WIFI
82:18:88:C6:DF:B7,,[WPA2_PSK],2025-3-23 4:59:33,6,-84,34.0410538,-117.1569519,466.70,2.50,WIFI
86:18:88:C6:DF:B7,,[WPA2_PSK],2025-3-23 4:59:33,6,-84,34.0410538,-117.1569519,466.70,2.50,WIFI
2C:00:AB:A0:07:A0,Chevron Frontier,[WPA2_PSK],2025-3-23 4:59:33,6,-92,34.0410538,-117.1569519,466.70,2.50,WIFI
A4:11:62:34:A7:40,c9c72023e0c20a783f801e3970d84284,[WPA2_PSK],2025-3-23 4:59:38,11,-83,34.0415230,-117.1578293,464.40,2.50,WIFI
40:4C:77:1E:29:A8,Frontier7600,[WPA2_PSK],2025-3-23 4:59:38,11,-84,34.0415230,-117.1578293,464.40,2.50,WIFI
A6:83:C2:8D:06:CB,TLE-CENTER,[WPA2_PSK],2025-3-23 4:59:38,11,-91,34.0415230,-117.1578293,464.40,2.50,WIFI
A6:83:C2:8D:0C:7E,TLE-CENTER,[WPA2_PSK],2025-3-23 4:59:41,1,-83,34.0417938,-117.1584015,462.80,2.50,WIFI
58:9B:4A:AF:BD:98,SpectrumSetup-BD94,[WPA2_PSK],2025-3-23 4:59:41,1,-88,34.0417938,-117.1584015,462.80,2.50,WIFI
76:83:C2:8D:0C:7E,TLE-GUEST,[OPEN],2025-3-23 4:59:41,1,-88,34.0417938,-117.1584015,462.80,2.50,WIFI
F0:7B:65:09:FF:59,SpectrumSetup-FF53,[WPA2_PSK],2025-3-23 4:59:41,1,-90,34.0417938,-117.1584015,462.80,2.50,WIFI
96:83:C2:8D:0C:7E,,[WPA2_PSK],2025-3-23 4:59:41,1,-90,34.0417938,-117.1584015,462.80,2.50,WIFI
74:83:C2:8D:0C:7E,,[WPA2_PSK],2025-3-23 4:59:41,1,-91,34.0417938,-117.1584015,462.80,2.50,WIFI
96:83:C2:8D:0B:F1,,[WPA2_PSK],2025-3-23 4:59:41,1,-91,34.0417938,-117.1584015,462.80,2.50,WIFI
04:D5:90:2B:4A:19,,[WPA2_PSK],2025-3-23 4:59:41,1,-93,34.0417938,-117.1584015,462.80,2.50,WIFI
18:1B:EB:AF:0E:A9,7LF8L,[WPA2_PSK],2025-3-23 4:59:41,1,-94,34.0417938,-117.1584015,462.80,2.50,WIFI
94:3C:96:5E:A2:86,TMOBILE-A281,[WPA2_WPA3_PSK],2025-3-23 4:59:47,6,-71,34.0423279,-117.1595383,457.50,2.25,WIFI
40:47:5E:ED:01:06,RivenRanch,[WPA2_PSK],2025-3-23 4:59:47,6,-87,34.0423279,-117.1595383,457.50,2.25,WIFI
72:32:B1:69:33:61,,[WPA2_PSK],2025-3-23 4:59:48,7,-88,34.0424156,-117.1597290,456.40,2.25,WIFI
B4:B0:24:0E:27:51,TP-Link_2751,[WPA2_PSK],2025-3-23 4:59:51,10,-89,34.0426865,-117.1602936,453.90,2.25,WIFI
AC:DF:9F:90:10:70,TMOBILE-106E,[WPA2_WPA3_PSK],2025-3-23 4:59:51,10,-95,34.0426865,-117.1602936,453.90,2.25,WIFI
2C:30:33:DE:99:88,NETGEAR21,[WPA2_PSK],2025-3-23 4:59:52,11,-84,34.0427818,-117.1604767,453.10,2.25,WIFI
E2:55:7D:48:BA:98,Redlands BYOD,[WPA2_PSK],2025-3-23 4:59:52,11,-93,34.0427818,-117.1604767,453.10,2.25,WIFI
9C:4F:5F:53:0B:60,Nest1145,[WPA2_PSK],2025-3-23 4:59:52,11,-95,34.0427818,-117.1604767,453.10,2.25,WIFI
6C:CD:D6:05:39:C1,NETGEAR57,[WPA2_PSK],2025-3-23 4:59:58,3,-96,34.0432243,-117.1616211,450.60,2.25,WIFI
E0:46:EE:04:B5:3B,NETGEAR06,[WPA2_PSK],2025-3-23 5:0:6,11,-90,34.0436897,-117.1632156,447.50,2.25,WIFI
D0:21:F9:DC:D5:44,TGPG,[WPA2_PSK],2025-3-23 5:0:6,11,-91,34.0436897,-117.1632156,447.50,2.25,WIFI
D2:21:F9:9C:D5:44,,[WPA2_PSK],2025-3-23 5:0:6,11,-92,34.0436897,-117.1632156,447.50,2.25,WIFI
F8:5B:3B:DC:C7:ED,SpectrumSetup-EF,[WPA2_PSK],2025-3-23 5:0:9,1,-75,34.0438576,-117.1638184,445.30,2.25,WIFI
4C:AB:F8:54:79:0D,SpectrumSetup-6D,[WPA2_PSK],2025-3-23 5:0:9,1,-76,34.0438576,-117.1638184,445.30,2.25,WIFI
14:7D:05:4E:67:C7,SpectrumSetup-C5,[WPA2_PSK],2025-3-23 5:0:9,1,-82,34.0438576,-117.1638184,445.30,2.25,WIFI
EA:38:83:1E:1E:98,,[WPA2_PSK],2025-3-23 5:0:9,1,-82,34.0438576,-117.1638184,445.30,2.25,WIFI
