WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
E4:FA:C4:75:15:0C,Hubbards,[WPA_WPA2_PSK],2025-3-26 21:36:31,1,-83,33.9373131,-117.1573410,514.70,3.25,WIFI
EA:FA:C4:75:15:0C,Network1,[WPA_PSK],2025-3-26 21:36:31,1,-83,33.9373131,-117.1573410,514.70,3.25,WIFI
B0:6A:41:A1:5A:96,Hubbards,[WPA2_PSK],2025-3-26 21:36:31,1,-88,33.9373131,-117.1573410,514.70,3.25,WIFI
02:92:A5:27:AE:0B,myChevrolet8149,[WPA2_WPA3_PSK],2025-3-26 21:36:31,1,-92,33.9373131,-117.1573410,514.70,3.25,WIFI
BC:96:E5:07:E5:24,Mobilereconstation,[WPA2_WPA3_PSK],2025-3-26 21:36:32,2,-85,33.9373131,-117.1573410,514.80,3.25,WIFI
78:21:84:63:E8:CD,EVC-ESP-AA-130,[OPEN],2025-3-26 21:36:35,5,-88,33.9373131,-117.1573410,515.20,3.25,WIFI
34:94:54:DD:25:09,EVC-ESP-AA-019,[OPEN],2025-3-26 21:36:35,5,-91,33.9373131,-117.1573410,515.20,3.25,WIFI
E8:31:CD:87:04:A5,EVC-ESP-AA-048,[OPEN],2025-3-26 21:36:35,5,-94,33.9373131,-117.1573410,515.20,3.25,WIFI
00:10:02:4F:F7:AC,MyVolvo6lbPGC,[WPA2_PSK],2025-3-26 21:36:36,6,-79,33.9373131,-117.1573410,515.30,3.25,WIFI
B0:6A:41:A1:5B:88,Hubbards,[WPA2_PSK],2025-3-26 21:36:36,6,-94,33.9373131,-117.1573410,515.30,3.25,WIFI
EC:5C:84:33:46:BF,TOYOTA Camry_46BF8433EC5C,[WPA2_PSK],2025-3-26 21:36:41,11,-90,33.9373093,-117.1573410,515.40,3.25,WIFI
BC:82:5D:86:43:4B,savagewarrior,[WPA2_PSK],2025-3-26 21:36:41,11,-92,33.9373093,-117.1573410,515.40,3.25,WIFI
D4:8A:3B:75:54:DB,DDPAI_Mini3_54DB,[WPA_WPA2_PSK],2025-3-26 21:36:50,6,-92,33.9372978,-117.1573257,514.90,2.75,WIFI
