WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
DE:CB:BC:B9:7D:2E,,[WPA2],2025-12-16 20:25:26,1,-87,34.0551796,-117.1760025,395.70,1.75,WIFI
E2:55:A8:09:91:9B,DelEmployee,[WPA2_PSK],2025-12-16 20:25:26,1,-92,34.0551796,-117.1760025,395.70,1.75,WIFI
DE:CB:BC:B9:7D:34,,[WPA2],2025-12-16 20:25:31,6,-77,34.0551796,-117.1760025,395.50,1.75,WIFI
DE:CB:BC:B7:8A:0C,,[WPA2],2025-12-16 20:25:36,11,-87,34.0551834,-117.1760025,395.40,1.75,WIFI
EE:55:A8:09:91:9B,DelManager,[WPA2],2025-12-16 20:26:21,1,-91,34.0552254,-117.1759186,394.50,1.75,WIFI
EA:55:3D:F3:A8:EB,,[WPA_WPA2_PSK],2025-12-16 20:27:13,11,-91,34.0552483,-117.1758728,394.30,1.50,WIFI
EE:55:3D:F3:A8:EB,ampmequip,[WPA2_PSK],2025-12-16 20:27:13,11,-92,34.0552483,-117.1758728,394.30,1.50,WIFI
E0:55:3D:F3:A8:EB,,[WPA_WPA2_PSK],2025-12-16 20:27:13,11,-94,34.0552483,-117.1758728,394.30,1.50,WIFI
A2:E9:31:3E:B7:19,,[WPA2_PSK],2025-12-16 20:28:0,2,-92,34.0553932,-117.1758804,393.90,1.75,WIFI
5C:E9:31:3E:B7:17,Kishan,[WPA2_PSK],2025-12-16 20:28:0,2,-94,34.0553932,-117.1758804,393.90,1.75,WIFI
14:59:C0:A1:C5:3C,local1354Dormroom,[WPA2_PSK],2025-12-16 20:28:21,9,-93,34.0553932,-117.1758804,394.10,1.50,WIFI
8A:5A:85:FC:8E:79,DIRECT-MBUX 57238,[WPA2_PSK],2025-12-16 20:28:32,6,-96,34.0553932,-117.1758804,394.50,1.50,WIFI
5A:E4:03:52:8D:30,Audi_MMI_1361,[WPA2_PSK],2025-12-16 20:28:46,6,-92,34.0553932,-117.1759644,394.70,1.50,WIFI
B8:66:85:49:8E:46,MySpectrumWiFi40-2G,[WPA2_PSK],2025-12-16 20:28:46,6,-93,34.0553932,-117.1759644,394.70,1.50,WIFI
FA:6D:CC:97:61:90,myChevrolet 6190,[WPA2_PSK],2025-12-16 20:28:47,7,-95,34.0553932,-117.1759644,394.70,1.50,WIFI
70:7D:A1:6C:83:C6,ATTSF366HM,[WPA2_PSK],2025-12-16 20:28:51,11,-94,34.0553932,-117.1759644,394.60,1.50,WIFI
7A:7D:A1:6C:83:C6,,[WPA2_PSK],2025-12-16 20:28:51,11,-95,34.0553932,-117.1759644,394.60,1.50,WIFI
F0:AB:54:A5:5E:23,Gerrys Truck,[WPA2_PSK],2025-12-16 20:29:8,1,-96,34.0553932,-117.1759796,395.00,1.50,WIFI
F0:B0:40:9E:7F:7A,DC_1922490162,[WPA2_PSK],2025-12-16 20:29:48,1,-88,34.0553894,-117.1759796,395.60,1.25,WIFI
BC:82:5D:9E:1F:F5,mimi89,[WPA2_PSK],2025-12-16 20:29:56,6,-96,34.0553894,-117.1759796,395.50,1.25,WIFI
DA:55:A8:09:91:9B,,[WPA2_PSK],2025-12-16 20:30:46,1,-90,34.0553894,-117.1760406,395.00,1.50,WIFI
BC:82:5D:0E:0C:B4,WiFi Hotspot 1463,[WPA2_PSK],2025-12-16 20:30:57,11,-90,34.0553932,-117.1760406,394.90,1.50,WIFI
12:E8:A7:7D:6C:B5,myChevrolet 6cb5,[WPA2_PSK],2025-12-16 20:31:0,1,-95,34.0553932,-117.1760406,394.90,1.50,WIFI
8A:78:48:D2:5F:89,Y-fi,[WPA2_WPA3_PSK],2025-12-16 20:32:16,6,-96,34.0551910,-117.1762772,392.90,1.25,WIFI
BA:8B:A9:DA:99:51,,[WPA2_PSK],2025-12-16 20:32:58,6,-90,34.0547218,-117.1751404,395.00,1.50,WIFI
B2:8B:A9:DA:99:51,,[WPA2_PSK],2025-12-16 20:32:58,6,-91,34.0547218,-117.1751404,395.00,1.50,WIFI
AC:8B:A9:DA:99:51,,[WPA2_WPA3_PSK],2025-12-16 20:32:58,6,-92,34.0547218,-117.1751404,395.00,1.50,WIFI
4C:19:5D:6E:1E:2B,SpectrumSetup-25,[WPA2_PSK],2025-12-16 20:32:58,6,-94,34.0547218,-117.1751404,395.00,1.50,WIFI
9E:A3:A9:E9:06:D9,,[WPA2_PSK],2025-12-16 20:33:6,1,-85,34.0541611,-117.1746979,397.00,1.25,WIFI
F8:08:4F:D8:BA:1E,MySpectrumWiFi18-2G,[WPA2_PSK],2025-12-16 20:33:6,1,-94,34.0541611,-117.1746979,397.00,1.25,WIFI
30:68:93:A8:8B:62,tishdecco,[WPA2_WPA3_PSK],2025-12-16 20:33:11,5,-90,34.0538406,-117.1744385,398.20,1.25,WIFI
30:68:93:A8:8B:68,tishdecco,[WPA2_WPA3_PSK],2025-12-16 20:33:16,10,-86,34.0535851,-117.1742477,399.10,1.25,WIFI
8A:5A:85:AD:9A:0B,marion,[WPA2_PSK],2025-12-16 20:33:18,1,-77,34.0535240,-117.1742020,399.30,1.25,WIFI
30:68:93:A8:89:28,tishdecco,[WPA2_WPA3_PSK],2025-12-16 20:33:22,2,-81,34.0534782,-117.1741714,399.30,1.25,WIFI
36:68:93:A8:89:28,,[WPA2_PSK],2025-12-16 20:33:22,2,-82,34.0534782,-117.1741714,399.30,1.25,WIFI
36:68:93:A8:8B:62,,[WPA2_PSK],2025-12-16 20:33:25,5,-92,34.0534782,-117.1741714,399.50,1.25,WIFI
36:68:93:A8:8B:68,,[WPA2_PSK],2025-12-16 20:33:30,10,-89,34.0534782,-117.1741714,399.70,1.25,WIFI
AC:91:9B:BC:8A:AC,Verizon_9MLSSG,[WPA2_PSK],2025-12-16 20:33:31,11,-95,34.0534782,-117.1741714,399.80,1.25,WIFI
AC:91:9B:C0:20:6A,Verizon_9RJLR4,[WPA2_PSK],2025-12-16 20:33:46,1,-82,34.0531578,-117.1740036,401.30,1.25,WIFI
12:61:B4:7E:19:56,,[WPA2_PSK],2025-12-16 20:33:51,3,-93,34.0529175,-117.1743774,401.40,1.25,WIFI
F8:AA:3F:EB:E6:63,SpectrumSetup-61,[WPA2_PSK],2025-12-16 20:33:54,6,-89,34.0527496,-117.1746902,401.40,1.25,WIFI
