WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
CC:40:D0:A2:8E:62,NETGEAR91,[WPA2_PSK],2025-3-28 20:52:53,1,-57,34.0447769,-117.2016525,363.90,3.25,WIFI
F4:52:46:1D:8C:B9,SpectrumSetup-BB,[WPA2_PSK],2025-3-28 20:52:53,1,-59,34.0447769,-117.2016525,363.90,3.25,WIFI
D6:9C:DD:6E:27:62,SunPower36027,[WPA2_PSK],2025-3-28 20:52:53,1,-63,34.0447769,-117.2016525,363.90,3.25,WIFI
7A:AC:B9:BD:D4:B8,BT_Magnolia_guest,[WPA2_PSK],2025-3-28 20:52:53,1,-65,34.0447769,-117.2016525,363.90,3.25,WIFI
82:AC:B9:BD:D4:B8,,[WPA2_PSK],2025-3-28 20:52:53,1,-66,34.0447769,-117.2016525,363.90,3.25,WIFI
74:AC:B9:BD:D4:B8,BT_Magnolia,[WPA2_PSK],2025-3-28 20:52:53,1,-67,34.0447769,-117.2016525,363.90,3.25,WIFI
7E:AC:B9:BD:D4:B8,iPhoneSetup,[WPA2_PSK],2025-3-28 20:52:53,1,-68,34.0447769,-117.2016525,363.90,3.25,WIFI
A0:04:60:CE:27:AC,NETGEAR49,[WPA2_PSK],2025-3-28 20:52:53,1,-77,34.0447769,-117.2016525,363.90,3.25,WIFI
3C:52:A1:5F:88:36,Frontier8432_EXT,[WPA2_PSK],2025-3-28 20:52:53,1,-82,34.0447769,-117.2016525,363.90,3.25,WIFI
3C:04:61:9B:96:F8,Frontier2416,[WPA2_PSK],2025-3-28 20:52:53,1,-84,34.0447769,-117.2016525,363.90,3.25,WIFI
A0:89:66:8D:EC:20,,[WPA_WPA2_PSK],2025-3-28 20:52:54,2,-71,34.0448189,-117.2016907,363.80,3.25,WIFI
88:57:1D:51:C7:14,[range]_E30AJT7113083P,[WPA2_PSK],2025-3-28 20:52:56,4,-78,34.0448990,-117.2017517,363.80,3.25,WIFI
82:AC:B9:BD:CB:D1,,[WPA2_PSK],2025-3-28 20:52:58,6,-66,34.0449562,-117.2017746,363.80,3.25,WIFI
74:AC:B9:BD:CB:D1,BT_Magnolia,[WPA2_PSK],2025-3-28 20:52:58,6,-69,34.0449562,-117.2017746,363.80,3.25,WIFI
