WigleWifi-1.4,appRelease=v1.2.0,model=ESP32 Marauder,release=v1.2.0,device=ESP32 Marauder,display=SPI TFT,board=ESP32 Marauder,brand=JustCallMeKoko
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
C0:5D:89:D0:13:89,PNR08IF3106216F090,[OPEN],2025-12-1 15:7:47,1,-79,34.0443993,-117.2011642,374.30,2.25,WIFI
1C:E8:9E:80:A6:30,[fridge]_E30AJT5123217F,[WPA2_PSK],2025-12-1 15:7:47,1,-79,34.0443993,-117.2011642,374.30,2.25,WIFI
2C:67:BE:09:97:EF,SpectrumSetup-97EB,[WPA2_PSK],2025-12-1 15:7:47,1,-82,34.0443993,-117.2011642,374.30,2.25,WIFI
1E:67:BE:09:97:E8,,[WPA2_PSK],2025-12-1 15:7:47,1,-82,34.0443993,-117.2011642,374.30,2.25,WIFI
1E:67:BE:09:97:E9,,[WPA2_PSK],2025-12-1 15:7:47,1,-83,34.0443993,-117.2011642,374.30,2.25,WIFI
58:68:7A:10:AF:17,Cookie,[WPA2_WPA3_PSK],2025-12-1 15:7:47,1,-85,34.0443993,-117.2011642,374.30,2.25,WIFI
00:C8:96:B2:DC:40,,[WPA_WPA2_PSK],2025-12-1 15:7:47,1,-89,34.0443993,-117.2011642,374.30,2.25,WIFI
80:69:1A:94:49:40,Leason2.0,[WPA2_WPA3_PSK],2025-12-1 15:7:47,1,-89,34.0443993,-117.2011642,374.30,2.25,WIFI
98:ED:5C:83:A7:13,TeslaPV_83A713,[WPA2_PSK],2025-12-1 15:7:48,2,-69,34.0443993,-117.2011642,374.30,2.25,WIFI
10:DA:43:99:AA:F6,NETGEAR29,[WPA2_PSK],2025-12-1 15:7:49,3,-78,34.0443993,-117.2011642,374.30,2.25,WIFI
04:B6:BE:86:B3:34,,[WPA_WPA2_PSK],2025-12-1 15:7:49,3,-90,34.0443993,-117.2011642,374.30,2.25,WIFI
D4:3F:32:6C:47:C3,,[WPA3_PSK],2025-12-1 15:7:52,6,-64,34.0443954,-117.2011642,374.30,2.25,WIFI
D4:3F:32:6C:47:C9,,[OPEN],2025-12-1 15:7:52,6,-64,34.0443954,-117.2011642,374.30,2.25,WIFI
D4:3F:32:6C:47:C6,durian,[WPA2_PSK],2025-12-1 15:7:52,6,-65,34.0443954,-117.2011642,374.30,2.25,WIFI
90:CA:FA:9B:59:3C,The Force,[WPA2_PSK],2025-12-1 15:7:52,6,-67,34.0443954,-117.2011642,374.30,2.25,WIFI
90:CA:FA:9B:5D:1A,The Force,[WPA2_PSK],2025-12-1 15:7:52,6,-69,34.0443954,-117.2011642,374.30,2.25,WIFI
A4:11:62:72:9A:12,ARLO_VMB_4422026869,[WPA2_PSK],2025-12-1 15:7:52,6,-69,34.0443954,-117.2011642,374.30,2.25,WIFI
90:CA:FA:9B:5C:CF,The Force,[WPA2_PSK],2025-12-1 15:7:52,6,-71,34.0443954,-117.2011642,374.30,2.25,WIFI
8A:0C:7A:D4:3E:98,,[WPA2_PSK],2025-12-1 15:7:52,6,-81,34.0443954,-117.2011642,374.30,2.25,WIFI
AA:0C:7A:D4:3E:98,,[WPA2_PSK],2025-12-1 15:7:52,6,-81,34.0443954,-117.2011642,374.30,2.25,WIFI
9C:0B:05:C3:67:C4,,[WPA3_PSK],2025-12-1 15:7:52,6,-85,34.0443954,-117.2011642,374.30,2.25,WIFI
9C:0B:05:C3:67:C7,GeorgeYaz,[WPA2_PSK],2025-12-1 15:7:52,6,-85,34.0443954,-117.2011642,374.30,2.25,WIFI
9C:0B:05:C3:67:CA,,[OPEN],2025-12-1 15:7:52,6,-86,34.0443954,-117.2011642,374.30,2.25,WIFI
FC:34:97:05:D4:D1,BeOurGuest,[WPA2_WPA3_PSK],2025-12-1 15:7:53,7,-82,34.0443954,-117.2011642,374.30,2.25,WIFI
C6:A5:11:13:4D:0C,,[WPA2_PSK],2025-12-1 15:7:56,9,-89,34.0443954,-117.2011795,374.30,2.25,WIFI
D4:05:DE:89:EE:67,Honn,[WPA2_PSK],2025-12-1 15:7:58,11,-71,34.0443954,-117.2011795,374.30,2.25,WIFI
F8:5B:3B:CE:64:39,MandC,[WPA2_PSK],2025-12-1 15:7:58,11,-73,34.0443954,-117.2011795,374.30,2.25,WIFI
9A:0C:7A:D4:2C:F8,SpectrumSetup-97EB,[WPA2_PSK],2025-12-1 15:7:58,11,-75,34.0443954,-117.2011795,374.30,2.25,WIFI
C6:47:CC:7F:68:AE,,[WPA2_PSK],2025-12-1 15:7:58,11,-79,34.0443954,-117.2011795,374.30,2.25,WIFI
24:F3:E3:08:18:03,,[WPA3_PSK],2025-12-1 15:7:58,11,-82,34.0443954,-117.2011795,374.30,2.25,WIFI
D6:47:CC:7F:68:AE,SpectrumSetup-21,[WPA2_PSK],2025-12-1 15:7:58,11,-84,34.0443954,-117.2011795,374.30,2.25,WIFI
B2:4A:39:F2:27:62,,[OPEN],2025-12-1 15:7:58,11,-86,34.0443954,-117.2011795,374.30,2.25,WIFI
48:5D:36:48:3D:46,Klausz_WiFi,[WPA2_PSK],2025-12-1 15:7:58,11,-92,34.0443954,-117.2011795,374.30,2.25,WIFI
F8:F5:32:4C:34:08,Frontier0816,[WPA2_PSK],2025-12-1 15:7:58,11,-94,34.0443954,-117.2011795,374.30,2.25,WIFI
54:04:63:FB:12:D8,,[WPA_WPA2_PSK],2025-12-1 15:8:1,1,-73,34.0443916,-117.2012024,374.30,2.25,WIFI
34:53:D2:52:09:CE,SpectrumSetup-C8,[WPA2_PSK],2025-12-1 15:8:1,1,-84,34.0443916,-117.2012024,374.30,2.25,WIFI
2A:03:EB:21:00:9C,Kaitlyn,[WPA2_PSK],2025-12-1 15:8:1,1,-89,34.0443916,-117.2012024,374.30,2.25,WIFI
60:F4:19:01:28:A3,,[WPA3_PSK],2025-12-1 15:8:7,6,-73,34.0443764,-117.2012634,374.00,2.25,WIFI
D4:05:DE:89:EE:64,,[WPA3_PSK],2025-12-1 15:8:12,11,-62,34.0443649,-117.2012863,374.20,2.25,WIFI
D4:05:DE:89:EE:6A,,[OPEN],2025-12-1 15:8:12,11,-62,34.0443649,-117.2012863,374.20,2.25,WIFI
22:48:6C:B1:A8:3B,,[WPA2_PSK],2025-12-1 15:8:12,11,-79,34.0443649,-117.2012863,374.20,2.25,WIFI
22:3E:A4:04:CF:C2,,[WPA2_PSK],2025-12-1 15:8:12,11,-83,34.0443649,-117.2012863,374.20,2.25,WIFI
02:17:1A:D5:37:06,,[WPA2_PSK],2025-12-1 15:8:12,11,-85,34.0443649,-117.2012863,374.20,2.25,WIFI
A0:8A:06:C5:85:A7,joola-2G,[WPA2_PSK],2025-12-1 15:8:12,11,-93,34.0443649,-117.2012863,374.20,2.25,WIFI
CC:40:D0:A2:8E:62,NETGEAR91,[WPA2_PSK],2025-12-1 15:8:15,1,-84,34.0444183,-117.2012939,373.90,2.25,WIFI
7E:AC:B9:BD:CB:D1,iPhoneSetup,[WPA2_PSK],2025-12-1 15:8:21,6,-82,34.0446167,-117.2014923,373.30,2.25,WIFI
7A:AC:B9:BD:CB:D1,BT_Magnolia_guest,[WPA2_PSK],2025-12-1 15:8:21,6,-82,34.0446167,-117.2014923,373.30,2.25,WIFI
44:EA:D8:1E:24:B8,ChimePro-1E24B7,[OPEN],2025-12-1 15:8:21,6,-83,34.0446167,-117.2014923,373.30,2.25,WIFI
74:AC:B9:BD:CB:D1,BT_Magnolia,[WPA2_PSK],2025-12-1 15:8:21,6,-83,34.0446167,-117.2014923,373.30,2.25,WIFI
7A:AC:B9:BD:D4:B8,BT_Magnolia_guest,[WPA2_PSK],2025-12-1 15:8:21,6,-87,34.0446167,-117.2014923,373.30,2.25,WIFI
7E:AC:B9:BD:D4:B8,iPhoneSetup,[WPA2_PSK],2025-12-1 15:8:21,6,-87,34.0446167,-117.2014923,373.30,2.25,WIFI
24:F3:E3:08:18:06,Cohen 6g,[WPA2_PSK],2025-12-1 15:8:26,11,-73,34.0448647,-117.2016983,371.50,2.25,WIFI
24:F3:E3:08:18:0F,Frontier4864 Guest,[WPA2_PSK],2025-12-1 15:8:26,11,-73,34.0448647,-117.2016983,371.50,2.25,WIFI
44:AC:85:6E:45:C6,Normanrose,[WPA2_PSK],2025-12-1 15:8:26,11,-81,34.0448647,-117.2016983,371.50,2.25,WIFI
44:AC:85:6E:45:C9,,[OPEN],2025-12-1 15:8:26,11,-82,34.0448647,-117.2016983,371.50,2.25,WIFI
30:8D:99:FB:51:2F,HP-Print-2F-ENVY 4500 series,[OPEN],2025-12-1 15:8:26,11,-93,34.0448647,-117.2016983,371.50,2.25,WIFI
A0:04:60:CE:27:AC,NETGEAR49,[WPA2_PSK],2025-12-1 15:8:29,1,-75,34.0449638,-117.2017441,371.30,2.25,WIFI
3C:04:61:9B:96:F8,Frontier2416,[WPA2_PSK],2025-12-1 15:8:29,1,-83,34.0449638,-117.2017441,371.30,2.25,WIFI
88:57:1D:51:C7:14,[range]_E30AJT7113083P,[WPA2_PSK],2025-12-1 15:8:33,4,-82,34.0450974,-117.2016373,370.70,2.25,WIFI
60:F4:19:01:28:A9,,[OPEN],2025-12-1 15:8:35,6,-67,34.0451736,-117.2015076,370.30,2.25,WIFI
